Id,Code,Name,Standard Class,Vocab,Validity,Concept
320128,59621000,Essential hypertension,Disorder,SNOMED,Valid,Standard
432867,55822004,Hyperlipidemia,Disorder,SNOMED,Valid,Standard
4193704,313436004,Type 2 diabetes mellitus without complication,Disorder,SNOMED,Valid,Standard
764123,451041000124103,Atherosclerosis of coronary artery without angina pectoris,Disorder,SNOMED,Valid,Standard
438485,19585003,Postoperative state,Clinical Finding,SNOMED,Valid,Standard
313217,49436004,Atrial fibrillation,Disorder,SNOMED,Valid,Standard
312437,267036007,Dyspnea,Clinical Finding,SNOMED,Valid,Standard
317576,53741008,Coronary arteriosclerosis,Disorder,SNOMED,Valid,Standard
319835,42343007,Congestive heart failure,Disorder,SNOMED,Valid,Standard
312648,1201005,Benign essential hypertension,Disorder,SNOMED,Valid,Standard
77670,29857009,Chest pain,Clinical Finding,SNOMED,Valid,Standard
437827,267432004,Pure hypercholesterolemia,Disorder,SNOMED,Valid,Standard
201826,44054006,Type 2 diabetes mellitus,Disorder,SNOMED,Valid,Standard
439777,271737000,Anemia,Disorder,SNOMED,Valid,Standard
0,NULL/Missing,NULL/Missing condition concept,Undefined,None,Invalid,Non-standard
4144111,266435005,Gastroesophageal reflux disease without esophagitis,Disorder,SNOMED,Valid,Standard
140673,40930008,Hypothyroidism,Disorder,SNOMED,Valid,Standard
316139,84114007,Heart failure,Disorder,SNOMED,Valid,Standard
197320,14669001,Acute kidney injury,Disorder,SNOMED,Valid,Standard
442588,78275009,Obstructive sleep apnea syndrome,Disorder,SNOMED,Valid,Standard
255573,13645005,Chronic obstructive pulmonary disease,Disorder,SNOMED,Valid,Standard
4216244,72077002,Preoperative state,Clinical Finding,SNOMED,Valid,Standard
254761,49727002,Cough,Clinical Finding,SNOMED,Valid,Standard
444239,128926000,Postprocedural state finding,Clinical Finding,SNOMED,Valid,Standard
200219,21522001,Abdominal pain,Clinical Finding,SNOMED,Valid,Standard
4209423,56294008,Nicotine dependence,Disorder,SNOMED,Valid,Standard
138384,111566002,Acquired hypothyroidism,Disorder,SNOMED,Valid,Standard
316866,38341003,Hypertensive disorder,Disorder,SNOMED,Valid,Standard
443597,433144002,Chronic kidney disease stage 3,Disorder,SNOMED,Valid,Standard
81902,68566005,Urinary tract infectious disease,Disorder,SNOMED,Valid,Standard
46271022,709044004,Chronic kidney disease,Disorder,SNOMED,Valid,Standard
254061,60046008,Pleural effusion,Disorder,SNOMED,Valid,Standard
436070,34713006,Vitamin D deficiency,Disorder,SNOMED,Valid,Standard
436096,82423001,Chronic pain,Clinical Finding,SNOMED,Valid,Standard
4272240,367391008,Malaise,Clinical Finding,SNOMED,Valid,Standard
4154290,282825002,Paroxysmal atrial fibrillation,Disorder,SNOMED,Valid,Standard
438720,267434003,Mixed hyperlipidemia,Disorder,SNOMED,Valid,Standard
433736,414916001,Obesity,Disorder,SNOMED,Valid,Standard
261880,46621007,Atelectasis,Disorder,SNOMED,Valid,Standard
318800,235595009,Gastroesophageal reflux disease,Disorder,SNOMED,Valid,Standard
37016349,368051000119109,Hyperglycemia due to type 2 diabetes mellitus,Disorder,SNOMED,Valid,Standard
442077,197480006,Anxiety disorder,Disorder,SNOMED,Valid,Standard
194133,279039007,Low back pain,Clinical Finding,SNOMED,Valid,Standard
40481919,443502000,Coronary atherosclerosis,Disorder,SNOMED,Valid,Standard
4305080,386813002,Abnormal breathing,Clinical Finding,SNOMED,Valid,Standard
4168694,274710003,Lung field abnormal,Clinical Finding,SNOMED,Valid,Standard
436659,87522002,Iron deficiency anemia,Disorder,SNOMED,Valid,Standard
437677,274533004,Abnormal findings on diagnostic imaging of lung,Clinical Finding,SNOMED,Valid,Standard
437663,386661006,Fever,Clinical Finding,SNOMED,Valid,Standard
314658,8186001,Cardiomegaly,Disorder,SNOMED,Valid,Standard
4223659,84229001,Fatigue,Clinical Finding,SNOMED,Valid,Standard
75860,14760008,Constipation,Clinical Finding,SNOMED,Valid,Standard
196523,62315008,Diarrhea,Clinical Finding,SNOMED,Valid,Standard
42537729,737276005,Aortocoronary bypass graft present,Clinical Finding,SNOMED,Valid,Standard
138525,90834002,Pain in limb,Clinical Finding,SNOMED,Valid,Standard
4229440,88805009,Chronic congestive heart failure,Disorder,SNOMED,Valid,Standard
132797,91302008,Sepsis,Disorder,SNOMED,Valid,Standard
436230,166318006,Blood chemistry outside reference range,Clinical Finding,SNOMED,Valid,Standard
437833,43339004,Hypokalemia,Disorder,SNOMED,Valid,Standard
440383,35489007,Depressive disorder,Disorder,SNOMED,Valid,Standard
255848,233604007,Pneumonia,Disorder,SNOMED,Valid,Standard
378253,25064002,Headache,Clinical Finding,SNOMED,Valid,Standard
44784217,698247007,Cardiac arrhythmia,Disorder,SNOMED,Valid,Standard
201820,73211009,Diabetes mellitus,Disorder,SNOMED,Valid,Standard
80180,396275006,Osteoarthritis,Disorder,SNOMED,Valid,Standard
193782,46177005,End-stage renal disease,Disorder,SNOMED,Valid,Standard
433316,271789005,Dizziness and giddiness,Clinical Finding,SNOMED,Valid,Standard
4282096,36923009,"Major depression, single episode",Disorder,SNOMED,Valid,Standard
80502,64859006,Osteoporosis,Disorder,SNOMED,Valid,Standard
443454,432504007,Cerebral infarction,Disorder,SNOMED,Valid,Standard
372887,81308009,Disorder of brain,Disorder,SNOMED,Valid,Standard
435515,267447008,Hypo-osmolality and or hyponatremia,Disorder,SNOMED,Valid,Standard
321052,400047006,Peripheral vascular disease,Disorder,SNOMED,Valid,Standard
42538119,739026008,Transplanted heart valve present,Clinical Finding,SNOMED,Valid,Standard
437390,389087006,Hypoxemia,Disorder,SNOMED,Valid,Standard
321319,85898001,Cardiomyopathy,Disorder,SNOMED,Valid,Standard
434005,238136002,Morbid obesity,Disorder,SNOMED,Valid,Standard
432870,302215000,Thrombocytopenic disorder,Disorder,SNOMED,Valid,Standard
4113821,198288003,Anxiety state,Clinical Finding,SNOMED,Valid,Standard
4041437,118247008,Radiologic finding,Clinical Finding,SNOMED,Valid,Standard
314054,8722008,Aortic valve disorder,Disorder,SNOMED,Valid,Standard
433595,267038008,Edema,Clinical Finding,SNOMED,Valid,Standard
4021667,225552003,Wound finding,Clinical Finding,SNOMED,Valid,Standard
444070,3424008,Tachycardia,Clinical Finding,SNOMED,Valid,Standard
317002,45007003,Low blood pressure,Disorder,SNOMED,Valid,Standard
46271075,709111008,Acute hypoxemic respiratory failure,Disorder,SNOMED,Valid,Standard
377091,91175000,Seizure,Clinical Finding,SNOMED,Valid,Standard
4214376,80394007,Hyperglycemia,Disorder,SNOMED,Valid,Standard
44804551,766501000000105,Multiple pressure ulcers,Disorder,SNOMED,Valid,Standard
4256228,409622000,Respiratory failure,Disorder,SNOMED,Valid,Standard
438557,102660008,Glucose level outside reference range,Clinical Finding,SNOMED,Valid,Standard
438398,111583006,Leukocytosis,Disorder,SNOMED,Valid,Standard
443410,312342009,Infective pneumonia,Disorder,SNOMED,Valid,Non-standard
31317,40739000,Dysphagia,Disorder,SNOMED,Valid,Standard
317009,195967001,Asthma,Disorder,SNOMED,Valid,Standard
