Id,Code,Name,Standard Class,Vocab,Validity,Concept
0,No matching concept,No matching concept,Undefined,None,Valid,Non-standard
NULL,No matching concept,NULL value,Undefined,None,Valid,Standard
317576,53741008,Coronary arteriosclerosis,Disorder,SNOMED,Valid,Standard
4311499,93986008,Primary malignant neoplasm of respiratory tract,Disorder,SNOMED,Valid,Standard
4182210,52448006,Dementia,Disorder,SNOMED,Valid,Standard
255573,13645005,Chronic obstructive pulmonary disease,Disorder,SNOMED,Valid,Standard
312327,57054005,Acute myocardial infarction,Disorder,SNOMED,Valid,Standard
255848,233604007,Pneumonia,Disorder,SNOMED,Valid,Standard
132797,91302008,Sepsis,Disorder,SNOMED,Valid,Standard
380055,93727008,Primary malignant neoplasm of brain,Disorder,SNOMED,Valid,Standard
704996,OMOP4912978,Patient meets COVID-19 laboratory diagnostic criteria,Clinical Finding,OMOP Extension,Valid,Standard
197500,93761005,Primary malignant neoplasm of colon,Disorder,SNOMED,Valid,Standard
4064161,19943007,Cirrhosis of liver,Disorder,SNOMED,Valid,Standard
443611,433146000,Chronic kidney disease stage 5,Disorder,SNOMED,Valid,Standard
199754,372003004,Primary malignant neoplasm of pancreas,Disorder,SNOMED,Valid,Standard
443392,363346000,Malignant neoplastic disease,Disorder,SNOMED,Valid,Standard
378419,26929004,Alzheimer's disease,Disorder,SNOMED,Valid,Standard
4187218,415126001,Pneumonitis caused by inhaled substance,Disorder,SNOMED,Valid,Standard
316139,84114007,Heart failure,Disorder,SNOMED,Valid,Standard
321319,85898001,Cardiomyopathy,Disorder,SNOMED,Valid,Standard
436583,1912002,Fall,Event,SNOMED,Valid,Standard
43530727,291571000119106,Spontaneous cerebral hemorrhage,Disorder,SNOMED,Valid,Standard
4110056,196001008,Chronic obstructive pulmonary disease with acute lower respiratory infection,Disorder,SNOMED,Valid,Standard
4108832,195080001,Atrial fibrillation and flutter,Disorder,SNOMED,Invalid,Non-standard
4152384,315615007,Non-rheumatic aortic sclerosis,Disorder,SNOMED,Valid,Standard
4110961,194849004,Generalized ischemic myocardial dysfunction,Disorder,SNOMED,Valid,Standard
192359,42399005,Renal failure syndrome,Disorder,SNOMED,Valid,Standard
26638,371984007,Primary malignant neoplasm of esophagus,Disorder,SNOMED,Valid,Standard
4162253,372137005,Primary malignant neoplasm of breast,Disorder,SNOMED,Valid,Standard
196360,93689003,Primary malignant neoplasm of urinary bladder,Disorder,SNOMED,Valid,Standard
200962,93974005,Primary malignant neoplasm of prostate,Disorder,SNOMED,Valid,Standard
200051,93934004,Primary malignant neoplasm of ovary,Disorder,SNOMED,Valid,Standard
197320,14669001,Acute kidney injury,Disorder,SNOMED,Valid,Standard
46271022,709044004,Chronic kidney disease,Disorder,SNOMED,Valid,Standard
381270,49049000,Parkinson's disease,Disorder,SNOMED,Valid,Standard
196463,420054005,Alcoholic cirrhosis,Disorder,SNOMED,Valid,Standard
139750,94047004,Primary malignant neoplasm of skin,Disorder,SNOMED,Valid,Standard
315286,413838009,Chronic ischemic heart disease,Disorder,SNOMED,Valid,Standard
192671,74474003,Gastrointestinal hemorrhage,Disorder,SNOMED,Valid,Standard
140352,91861009,"Acute myeloid leukemia, disease",Disorder,SNOMED,Valid,Standard
4339214,88223008,Secondary pulmonary hypertension,Disorder,SNOMED,Valid,Standard
321052,400047006,Peripheral vascular disease,Disorder,SNOMED,Valid,Standard
81902,68566005,Urinary tract infectious disease,Disorder,SNOMED,Valid,Standard
4197819,51615001,Fibrosis of lung,Disorder,SNOMED,Valid,Standard
198985,93849006,Primary malignant neoplasm of kidney,Disorder,SNOMED,Valid,Standard
4239381,91388009,Psychoactive substance abuse,Disorder,SNOMED,Valid,Standard
4001171,109841003,Liver cell carcinoma,Disorder,SNOMED,Valid,Standard
4232337,89736004,Valvular endocarditis,Disorder,SNOMED,Valid,Standard
441413,87309006,Death of unknown cause,Event,SNOMED,Valid,Standard
320128,59621000,Essential hypertension,Disorder,SNOMED,Valid,Standard
437233,109989006,Multiple myeloma,Disorder,SNOMED,Valid,Standard
4256228,409622000,Respiratory failure,Disorder,SNOMED,Valid,Standard
321042,410429000,Cardiac arrest,Disorder,SNOMED,Valid,Standard
443919,49220004,Hypertensive renal failure,Disorder,SNOMED,Valid,Standard
433143,93679002,Primary malignant neoplasm of appendix,Disorder,SNOMED,Valid,Standard
321588,56265001,Heart disease,Disorder,SNOMED,Valid,Standard
435243,66590003,Alcohol dependence,Disorder,SNOMED,Valid,Standard
319034,60899001,Hypertensive heart disease without congestive heart failure,Disorder,SNOMED,Valid,Standard
433753,15167005,Alcohol abuse,Disorder,SNOMED,Valid,Standard
4038838,118601006,Non-Hodgkin's lymphoma (clinical),Disorder,SNOMED,Valid,Standard
26052,371995001,Primary malignant neoplasm of larynx,Disorder,SNOMED,Valid,Standard
196044,372014001,Primary malignant neoplasm of stomach,Disorder,SNOMED,Valid,Standard
377845,389098007,Anoxic encephalopathy,Disorder,SNOMED,Valid,Standard
193688,186431008,Clostridioides difficile infection,Disorder,SNOMED,Valid,Standard
443454,432504007,Cerebral infarction,Disorder,SNOMED,Valid,Standard
4134603,128321003,Vascular disorder of intestine,Disorder,SNOMED,Valid,Standard
4119786,233703007,Interstitial lung disease,Disorder,SNOMED,Valid,Standard
4313365,94767002,Neoplasm of uncertain behavior of brain,Disorder,SNOMED,Valid,Standard
194984,235856003,Disease of liver,Disorder,SNOMED,Valid,Standard
74582,93984006,Primary malignant neoplasm of rectum,Disorder,SNOMED,Valid,Standard
437165,214031005,Motor vehicle traffic accident,Event,SNOMED,Valid,Standard
434056,195239002,Late effects of cerebrovascular disease,Disorder,SNOMED,Valid,Standard
261325,87433001,Pulmonary emphysema,Disorder,SNOMED,Valid,Standard
444101,46113002,Hypertensive heart failure,Disorder,SNOMED,Valid,Standard
4245975,59927004,Hepatic failure,Disorder,SNOMED,Valid,Standard
257004,195951007,Acute exacerbation of chronic obstructive pulmonary disease,Disorder,SNOMED,Valid,Standard
318443,72092001,Arteriosclerotic vascular disease,Disorder,SNOMED,Valid,Standard
314971,39871006,Chronic respiratory failure,Disorder,SNOMED,Valid,Standard
44784217,698247007,Cardiac arrhythmia,Disorder,SNOMED,Valid,Standard
437498,94101009,Primary malignant neoplasm of tongue,Disorder,SNOMED,Valid,Standard
4092411,248062006,Self-injurious behavior,Clinical Finding,SNOMED,Valid,Standard
4001664,109842005,Intrahepatic bile duct carcinoma,Disorder,SNOMED,Valid,Standard
376647,372010005,Primary malignant neoplasm of soft tissues,Disorder,SNOMED,Valid,Standard
4210746,56871000,Localized amyloidosis,Disorder,SNOMED,Valid,Standard
443731,420279001,Renal disorder due to type 2 diabetes mellitus,Disorder,SNOMED,Valid,Standard
435517,51387008,Acidosis,Disorder,SNOMED,Valid,Standard
4148906,270907008,Spontaneous subarachnoid hemorrhage,Disorder,SNOMED,Valid,Standard
198964,128302006,Chronic hepatitis C,Disorder,SNOMED,Valid,Standard
138994,109995007,Myelodysplastic syndrome (clinical),Disorder,SNOMED,Valid,Standard
436670,75934005,Metabolic disease,Disorder,SNOMED,Valid,Standard
4193704,313436004,Type 2 diabetes mellitus without complication,Disorder,SNOMED,Valid,Standard
435991,217082002,Accidental fall,Event,SNOMED,Valid,Standard
4270024,401314000,Acute non-ST segment elevation myocardial infarction,Disorder,SNOMED,Valid,Standard
374631,37340000,Motor neuron disease,Disorder,SNOMED,Valid,Standard
440417,59282003,Pulmonary embolism,Disorder,SNOMED,Valid,Standard
432545,87628006,Bacterial infectious disease,Disorder,SNOMED,Valid,Standard
4247238,93781006,Primary malignant neoplasm of endometrium,Disorder,SNOMED,Valid,Standard
40483287,443820000,Disorder of kidney and/or ureter,Disorder,SNOMED,Valid,Standard
193518,81060008,Intestinal obstruction,Disorder,SNOMED,Valid,Standard
4246127,93870000,Malignant neoplasm of liver,Disorder,SNOMED,Valid,Standard
4247802,73297009,Muscular dystrophy,Disorder,SNOMED,Valid,Standard
4111709,195176009,Non-traumatic subdural hemorrhage,Disorder,SNOMED,Valid,Standard
4082311,277473004,B-cell chronic lymphocytic leukemia,Disorder,SNOMED,Invalid,Non-standard
441749,217083007,Fall on or from stairs or steps,Event,SNOMED,Valid,Standard
319844,413439005,Acute ischemic heart disease,Disorder,SNOMED,Valid,Standard
141663,60168000,Osteomyelitis,Disorder,SNOMED,Valid,Standard
442131,93824007,Primary malignant neoplasm of head,Disorder,SNOMED,Valid,Standard
432851,128462008,Metastatic malignant neoplasm,Disorder,SNOMED,Valid,Standard
372887,81308009,Disorder of brain,Disorder,SNOMED,Valid,Standard
45770892,10708511000119108,Primary malignant neoplasm of uterus,Disorder,SNOMED,Valid,Standard
432867,55822004,Hyperlipidemia,Disorder,SNOMED,Valid,Standard
4322175,70209001,Late effect of complications of procedure,Disorder,SNOMED,Invalid,Non-standard
4003171,109913001,Benign neoplasm of meninges,Disorder,SNOMED,Valid,Standard
381591,62914000,Cerebrovascular disease,Disorder,SNOMED,Valid,Standard
28083,93961004,Primary malignant neoplasm of pharynx,Disorder,SNOMED,Valid,Standard
44808122,847741000000106,Diffuse large B-cell lymphoma,Disorder,SNOMED,Valid,Non-standard
44784621,8501000119104,Hypertensive heart and chronic kidney disease,Disorder,SNOMED,Valid,Standard
434592,109979007,B-cell lymphoma (clinical),Disorder,SNOMED,Valid,Standard
433163,238107002,Deficiency of macronutrients,Disorder,SNOMED,Valid,Standard
4163710,399020009,Dilated cardiomyopathy,Disorder,SNOMED,Valid,Standard
4134120,128188000,Cerebral palsy,Disorder,SNOMED,Valid,Standard
36770544,OMOP5000224,Metastasis to liver,Metastasis,Cancer Modifier,Valid,Standard
195856,82403002,Cholangitis,Disorder,SNOMED,Valid,Standard
4222174,83898004,Rheumatic disease of mitral valve,Disorder,SNOMED,Valid,Standard
4158911,274097009,Non-rheumatic heart valve disorder,Disorder,SNOMED,Valid,Standard
4111700,195083004,Ventricular fibrillation and flutter,Disorder,SNOMED,Valid,Standard
4108356,195190007,Cerebral infarction due to embolism of cerebral arteries,Disorder,SNOMED,Valid,Standard
321314,75878002,Abdominal aortic aneurysm without rupture,Disorder,SNOMED,Valid,Standard
320739,308546005,Dissection of aorta,Disorder,SNOMED,Valid,Standard
317510,93143009,Leukemia,Disorder,SNOMED,Valid,Standard
317109,87317003,Respiratory arrest,Disorder,SNOMED,Valid,Standard
443412,313435000,Type 1 diabetes mellitus without complication,Disorder,SNOMED,Invalid,Non-standard
439404,372001002,Primary malignant neoplasm of oral cavity,Disorder,SNOMED,Valid,Standard
4266809,397881000,Diverticular disease,Disorder,SNOMED,Valid,Standard
4195694,67782005,Acute respiratory distress syndrome,Disorder,SNOMED,Valid,Standard
4189531,61503006,Acute nephritis,Disorder,SNOMED,Valid,Standard
4177206,428255004,Tubulointerstitial nephritis,Disorder,SNOMED,Valid,Standard
4041283,118222006,General finding of observation of patient,Clinical Finding,SNOMED,Invalid,Non-standard
316999,44808001,Conduction disorder of the heart,Disorder,SNOMED,Valid,Standard
257907,19829001,Disorder of lung,Disorder,SNOMED,Valid,Standard
257315,53084003,Bacterial pneumonia,Disorder,SNOMED,Valid,Standard
199074,197456007,Acute pancreatitis,Disorder,SNOMED,Valid,Standard
193242,56905009,Perforation of intestine,Disorder,SNOMED,Valid,Standard
192956,76581006,Cholecystitis,Disorder,SNOMED,Valid,Standard
134442,89155008,Systemic sclerosis,Disorder,SNOMED,Valid,Standard
133424,94098005,Primary malignant neoplasm of thyroid gland,Disorder,SNOMED,Valid,Standard
46273463,10685111000119102,Upper respiratory tract infection caused by Influenza virus,Disorder,SNOMED,Valid,Standard
439777,271737000,Anemia,Disorder,SNOMED,Valid,Standard
433736,414916001,Obesity,Disorder,SNOMED,Valid,Standard
432833,93933005,Primary malignant neoplasm of oropharynx,Disorder,SNOMED,Valid,Standard
4157456,372123001,Primary malignant neoplasm of skin head and neck,Disorder,SNOMED,Valid,Standard
4124693,233873004,Hypertrophic cardiomyopathy,Disorder,SNOMED,Valid,Standard
4059290,197321007,Steatosis of liver,Disorder,SNOMED,Valid,Standard
40481901,443487006,Mantle cell lymphoma,Disorder,SNOMED,Valid,Standard
4000609,119291004,Disorder of upper gastrointestinal tract,Disorder,SNOMED,Valid,Standard
374919,24700007,Multiple sclerosis,Disorder,SNOMED,Valid,Standard
35225775,OMOP5031757,Metastasis to nervous system,Metastasis,Cancer Modifier,Valid,Standard
256723,195878008,Pneumonia and influenza,Disorder,SNOMED,Valid,Standard
