Id,Code,Name,Standard Class,Vocab,Validity,Concept
45768258,706294009,Basic diagnostic x-ray system,Physical Object,SNOMED,Valid,Standard
45768197,706172005,Ventilator,Physical Object,SNOMED,Valid,Standard
45768256,706289009,Computed tomography system thermography system,Physical Object,SNOMED,Valid,Standard
4151913,314789007,Diagnostic imaging equipment,Physical Object,SNOMED,Valid,Standard
45768281,706332007,Ultrasound imaging system,Physical Object,SNOMED,Valid,Standard
4234381,90003000,Magnetic resonance imaging unit,Physical Object,SNOMED,Valid,Standard
45761494,467645007,CPAP nasal oxygen cannula,Physical Object,SNOMED,Valid,Standard
45760219,465839001,"Tracheostomy mask, oxygen",Physical Object,SNOMED,Valid,Standard
4139525,426854004,High flow oxygen nasal cannula,Physical Object,SNOMED,Valid,Standard
40481859,442111003,Intermittent pneumatic compression stockings,Physical Object,SNOMED,Valid,Standard
45768276,706321007,Nuclear medicine system,Physical Object,SNOMED,Valid,Standard
4121561,257467001,ECG lead,Physical Object,SNOMED,Valid,Standard
45760842,466713001,Basic nasal oxygen cannula,Physical Object,SNOMED,Valid,Standard
45768274,706318005,Mammographic x-ray system,Physical Object,SNOMED,Valid,Standard
4243754,37874008,Continuing positive airway pressure unit,Physical Object,SNOMED,Valid,Standard
4138614,425826004,BiPAP oxygen nasal cannula,Physical Object,SNOMED,Valid,Standard
4223622,40388003,Implant,Physical Object,SNOMED,Valid,Standard
2720870,Q9967,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",HCPCS,HCPCS,Valid,Standard
4219637,82449006,Peripheral intravenous catheter,Physical Object,SNOMED,Valid,Standard
45757906,462323006,PET system,Physical Object,SNOMED,Valid,Standard
2720860,Q9957,"Injection, perflutren lipid microspheres, per ml",HCPCS,HCPCS,Valid,Standard
2721871,V2615,"Telescopic and other compound lens system, including distance vision telescopic, near vision telescopes and compound microscopic lens system",HCPCS,HCPCS,Valid,Standard
2615373,A9552,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",HCPCS,HCPCS,Valid,Standard
2615397,A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",HCPCS,HCPCS,Valid,Standard
2719425,L0172,"Cervical, collar, semi-rigid thermoplastic foam, two-piece, prefabricated, off-the-shelf",HCPCS,HCPCS,Valid,Standard
4054727,126251004,"Leukocyte reduced red blood cells, human",Pharma/Biol Product,SNOMED,Valid,Standard
2615322,A9500,"Technetium tc-99m sestamibi, diagnostic, per study dose",HCPCS,HCPCS,Valid,Standard
4145694,426851007,Aerosol oxygen mask,Physical Object,SNOMED,Valid,Standard
2719532,L0999,"Addition to spinal orthosis, not otherwise specified",HCPCS,HCPCS,Valid,Standard
4145603,34759008,Urethral catheter,Physical Object,SNOMED,Valid,Standard
4097216,26412008,Endotracheal tube,Physical Object,SNOMED,Valid,Standard
