Id,Code,Name,Standard Class,Vocab,Validity,Concept
967823,9863,sodium chloride,Ingredient,RxNorm,Valid,Standard
1125315,161,acetaminophen,Ingredient,RxNorm,Valid,Standard
1000560,26225,ondansetron,Ingredient,RxNorm,Valid,Standard
19049105,8591,potassium chloride,Ingredient,RxNorm,Valid,Standard
1367571,5224,heparin,Ingredient,RxNorm,Valid,Standard
989878,6387,lidocaine,Ingredient,RxNorm,Valid,Standard
1154029,4337,fentanyl,Ingredient,RxNorm,Valid,Standard
1112807,1191,aspirin,Ingredient,RxNorm,Valid,Standard
941258,82003,docusate,Ingredient,RxNorm,Valid,Standard
1560524,4850,glucose,Ingredient,RxNorm,Valid,Standard
938268,36387,"sennosides, USP",Ingredient,RxNorm,Valid,Standard
1154343,435,albuterol,Ingredient,RxNorm,Valid,Standard
1307046,6918,metoprolol,Ingredient,RxNorm,Valid,Standard
19036781,1901,calcium chloride,Ingredient,RxNorm,Valid,Standard
956874,4603,furosemide,Ingredient,RxNorm,Valid,Standard
948078,40790,pantoprazole,Ingredient,RxNorm,Valid,Standard
1126658,3423,hydromorphone,Ingredient,RxNorm,Valid,Standard
19011035,114202,lactate,Ingredient,RxNorm,Valid,Standard
708298,6960,midazolam,Ingredient,RxNorm,Valid,Standard
1545958,83367,atorvastatin,Ingredient,RxNorm,Valid,Standard
986417,221147,polyethylene glycol 3350,Ingredient,RxNorm,Valid,Standard
1129625,3498,diphenhydramine,Ingredient,RxNorm,Valid,Standard
1301025,67108,enoxaparin,Ingredient,RxNorm,Valid,Standard
1707687,11124,vancomycin,Ingredient,RxNorm,Valid,Standard
1550023,86009,insulin lispro,Ingredient,RxNorm,Valid,Standard
1771162,2180,cefazolin,Ingredient,RxNorm,Valid,Standard
19111620,4511,folic acid,Ingredient,RxNorm,Valid,Standard
953076,4278,famotidine,Ingredient,RxNorm,Valid,Standard
1174888,5489,hydrocodone,Ingredient,RxNorm,Valid,Standard
1373928,5470,hydralazine,Ingredient,RxNorm,Valid,Standard
19095164,2418,cholecalciferol,Ingredient,RxNorm,Valid,Standard
753626,8782,propofol,Ingredient,RxNorm,Valid,Standard
19093848,6585,magnesium sulfate,Ingredient,RxNorm,Valid,Standard
1308216,29046,lisinopril,Ingredient,RxNorm,Valid,Standard
1518254,3264,dexamethasone,Ingredient,RxNorm,Valid,Standard
1124957,7804,oxycodone,Ingredient,RxNorm,Valid,Standard
1308738,11248,vitamin B12,Ingredient,RxNorm,Valid,Standard
924939,1596,bisacodyl,Ingredient,RxNorm,Valid,Standard
1551099,8640,prednisone,Ingredient,RxNorm,Valid,Standard
1332418,17767,amlodipine,Ingredient,RxNorm,Valid,Standard
1110410,7052,morphine,Ingredient,RxNorm,Valid,Standard
1386957,6185,labetalol,Ingredient,RxNorm,Valid,Standard
1328165,3443,diltiazem,Ingredient,RxNorm,Valid,Standard
1114220,7242,naloxone,Ingredient,RxNorm,Valid,Standard
19049024,8588,potassium,Ingredient,RxNorm,Valid,Standard
1797513,2551,ciprofloxacin,Ingredient,RxNorm,Valid,Standard
797399,25480,gabapentin,Ingredient,RxNorm,Valid,Standard
1502905,274783,insulin glargine,Ingredient,RxNorm,Valid,Standard
1149380,41126,fluticasone,Ingredient,RxNorm,Valid,Standard
1103314,10689,tramadol,Ingredient,RxNorm,Valid,Standard
1746114,8339,piperacillin,Ingredient,RxNorm,Valid,Standard
1777806,2193,ceftriaxone,Ingredient,RxNorm,Valid,Standard
906780,6915,metoclopramide,Ingredient,RxNorm,Valid,Standard
1506270,6902,methylprednisolone,Ingredient,RxNorm,Valid,Standard
1310149,11289,warfarin,Ingredient,RxNorm,Valid,Standard
19005046,684879,pyridoxine,Ingredient,RxNorm,Valid,Standard
1734104,18631,azithromycin,Ingredient,RxNorm,Valid,Standard
1501700,10582,levothyroxine,Ingredient,RxNorm,Valid,Standard
1136980,35827,ketorolac,Ingredient,RxNorm,Valid,Standard
1135766,8163,phenylephrine,Ingredient,RxNorm,Valid,Standard
19124906,6574,magnesium,Ingredient,RxNorm,Valid,Standard
1713332,723,amoxicillin,Ingredient,RxNorm,Valid,Standard
19035704,1897,calcium carbonate,Ingredient,RxNorm,Valid,Standard
1177480,5640,ibuprofen,Ingredient,RxNorm,Valid,Standard
1741122,37617,tazobactam,Ingredient,RxNorm,Valid,Standard
1560305,484348,omega-3 acid ethyl esters (USP),Ingredient,RxNorm,Valid,Standard
1396131,24947,ferrous sulfate,Ingredient,RxNorm,Valid,Standard
19044812,8310,phytosterols,Ingredient,RxNorm,Valid,Standard
1343916,3992,epinephrine,Ingredient,RxNorm,Valid,Standard
1322184,32968,clopidogrel,Ingredient,RxNorm,Valid,Standard
992956,6581,magnesium hydroxide,Ingredient,RxNorm,Valid,Standard
1596977,253182,"insulin, regular, human",Ingredient,RxNorm,Valid,Standard
904453,283742,esomeprazole,Ingredient,RxNorm,Valid,Standard
1344143,828529,"albumin human, USP",Ingredient,RxNorm,Valid,Standard
974166,5487,hydrochlorothiazide,Ingredient,RxNorm,Valid,Standard
19044727,8308,vitamin K1,Ingredient,RxNorm,Valid,Standard
1346823,20352,carvedilol,Ingredient,RxNorm,Valid,Standard
1790812,2358,chlorhexidine,Ingredient,RxNorm,Valid,Standard
1707164,6922,metronidazole,Ingredient,RxNorm,Valid,Standard
1836430,10180,sulfamethoxazole,Ingredient,RxNorm,Valid,Standard
975125,5492,hydrocortisone,Ingredient,RxNorm,Valid,Standard
1560278,4832,glucagon,Ingredient,RxNorm,Valid,Standard
929887,17128,lansoprazole,Ingredient,RxNorm,Valid,Standard
19037038,1908,calcium gluconate,Ingredient,RxNorm,Valid,Standard
966991,9796,simethicone,Ingredient,RxNorm,Valid,Standard
990499,235496,"sodium phosphate, monobasic",Ingredient,RxNorm,Valid,Standard
991710,236719,"sodium phosphate, dibasic",Ingredient,RxNorm,Valid,Standard
19080985,5956,iohexol,Ingredient,RxNorm,Valid,Standard
939506,36676,sodium bicarbonate,Ingredient,RxNorm,Valid,Standard
19003953,68139,rocuronium,Ingredient,RxNorm,Valid,Standard
993631,6582,magnesium oxide,Ingredient,RxNorm,Valid,Standard
1361711,4917,nitroglycerin,Ingredient,RxNorm,Valid,Standard
19137312,10454,thiamine,Ingredient,RxNorm,Valid,Standard
19027362,34322,potassium phosphate,Ingredient,RxNorm,Valid,Standard
791967,6470,lorazepam,Ingredient,RxNorm,Valid,Standard
924566,77492,tamsulosin,Ingredient,RxNorm,Valid,Standard
19011331,1331,barium sulfate,Ingredient,RxNorm,Valid,Standard
1102527,6754,meperidine,Ingredient,RxNorm,Valid,Standard
1567198,51428,"insulin aspart, human",Ingredient,RxNorm,Valid,Standard
1539403,36567,simvastatin,Ingredient,RxNorm,Valid,Standard
1367500,52175,losartan,Ingredient,RxNorm,Valid,Standard
922570,7597,nystatin,Ingredient,RxNorm,Valid,Standard
923645,7646,omeprazole,Ingredient,RxNorm,Valid,Standard
