Id,Code,Name,Standard Class,Vocab,Validity,Concept
0,NULL/Missing,NULL/Missing drug concept,Undefined,None,Invalid,Non-standard
19079524,313002,sodium chloride 9 MG/ML Injectable Solution,Clinical Drug,RxNorm,Valid,Standard
40221381,1807627,150 ML sodium chloride 9 MG/ML Injection,Quant Clinical Drug,RxNorm,Valid,Standard
1125315,161,acetaminophen,Ingredient,RxNorm,Valid,Standard
1367571,5224,heparin,Ingredient,RxNorm,Valid,Standard
1154343,435,albuterol,Ingredient,RxNorm,Valid,Standard
36249734,1795607,500 ML glucose 50 MG/ML Injection,Quant Clinical Drug,RxNorm,Valid,Standard
1550023,86009,insulin lispro,Ingredient,RxNorm,Valid,Standard
1307046,6918,metoprolol,Ingredient,RxNorm,Valid,Standard
19135374,847630,calcium chloride 0.2 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML / sodium lactate 3.1 MG/ML Injectable Solution,Clinical Drug,RxNorm,Valid,Standard
938268,36387,"sennosides, USP",Ingredient,RxNorm,Valid,Standard
19076324,309778,glucose 50 MG/ML Injectable Solution,Clinical Drug,RxNorm,Valid,Standard
1154029,4337,fentanyl,Ingredient,RxNorm,Valid,Standard
948078,40790,pantoprazole,Ingredient,RxNorm,Valid,Standard
941258,82003,docusate,Ingredient,RxNorm,Valid,Standard
1112807,1191,aspirin,Ingredient,RxNorm,Valid,Standard
40221363,1807546,25 ML sodium chloride 4.5 MG/ML Injection,Quant Clinical Drug,RxNorm,Valid,Standard
989878,6387,lidocaine,Ingredient,RxNorm,Valid,Standard
1000560,26225,ondansetron,Ingredient,RxNorm,Valid,Standard
1707687,11124,vancomycin,Ingredient,RxNorm,Valid,Standard
40220357,1807639,1000 ML sodium chloride 9 MG/ML Injection,Quant Clinical Drug,RxNorm,Valid,Standard
36249688,1795251,glucose 50 MG/ML / sodium chloride 4.5 MG/ML Injection,Clinical Drug,RxNorm,Valid,Standard
956874,4603,furosemide,Ingredient,RxNorm,Valid,Standard
797399,25480,gabapentin,Ingredient,RxNorm,Valid,Standard
1545958,83367,atorvastatin,Ingredient,RxNorm,Valid,Standard
1746114,8339,piperacillin,Ingredient,RxNorm,Valid,Standard
1126658,3423,hydromorphone,Ingredient,RxNorm,Valid,Standard
19049024,8588,potassium,Ingredient,RxNorm,Valid,Standard
19111620,4511,folic acid,Ingredient,RxNorm,Valid,Standard
1174888,5489,hydrocodone,Ingredient,RxNorm,Valid,Standard
