Id,Code,Name,Standard Class,Vocab,Validity,Concept
3024171,9279-1,Respiratory rate,Clinical Observation,LOINC,Valid,Standard
3004249,8480-6,Systolic blood pressure,Clinical Observation,LOINC,Valid,Standard
3012888,8462-4,Diastolic blood pressure,Clinical Observation,LOINC,Valid,Standard
3020891,8310-5,Body temperature,Clinical Observation,LOINC,Valid,Standard
0,NULL/Missing,NULL/Missing measurement concept,Undefined,None,Invalid,Non-standard
4301868,78564009,Pulse rate,Observable Entity,SNOMED,Valid,Standard
4098046,252465000,Pulse oximetry,Procedure,SNOMED,Valid,Standard
3027598,8478-0,Mean blood pressure,Clinical Observation,LOINC,Valid,Standard
43055141,72514-3,Pain severity - 0-10 verbal numeric rating [Score] - Reported,Clinical Observation,LOINC,Valid,Standard
3014315,9187-6,Urine output,Clinical Observation,LOINC,Valid,Standard
3036277,8302-2,Body height,Clinical Observation,LOINC,Valid,Standard
4326744,75367002,Blood pressure,Observable Entity,SNOMED,Valid,Standard
3024882,19994-3,Oxygen/Total gas setting [Volume Fraction] Ventilator,Clinical Observation,LOINC,Valid,Standard
3025524,19993-5,Oxygen/Gas total Inhaled gas by Gas dilution.rebreath,Clinical Observation,LOINC,Valid,Standard
3005629,3151-8,Inhaled oxygen flow rate,Clinical Observation,LOINC,Valid,Standard
3009744,786-4,MCHC [Mass/volume] by Automated count,Lab Test,LOINC,Valid,Standard
3023599,787-2,MCV [Entitic volume] by Automated count,Lab Test,LOINC,Valid,Standard
3012030,785-6,MCH [Entitic mass] by Automated count,Lab Test,LOINC,Valid,Standard
21490852,76214-6,Invasive Mean blood pressure,Clinical Observation,LOINC,Valid,Standard
21492241,76536-2,Mean blood pressure by Noninvasive,Clinical Observation,LOINC,Valid,Standard
3000963,718-7,Hemoglobin [Mass/volume] in Blood,Lab Test,LOINC,Valid,Standard
3015632,2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Lab Test,LOINC,Valid,Standard
3024929,777-3,Platelets [#/volume] in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3023314,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,Lab Test,LOINC,Valid,Standard
3019897,788-0,Erythrocyte distribution width [Ratio] by Automated count,Lab Test,LOINC,Valid,Standard
21490853,76215-3,Invasive Systolic blood pressure,Clinical Observation,LOINC,Valid,Standard
21490851,76213-8,Invasive Diastolic blood pressure,Clinical Observation,LOINC,Valid,Standard
46236952,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",Lab Test,LOINC,Valid,Standard
3038553,39156-5,Body mass index (BMI) [Ratio],Clinical Observation,LOINC,Valid,Standard
3000996,8886-4,Heart rate method,Clinical Observation,LOINC,Valid,Standard
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3011948,5905-5,Monocytes/100 leukocytes in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3037511,736-9,Lymphocytes/100 leukocytes in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3013762,3141-9,Body weight Measured,Clinical Observation,LOINC,Valid,Standard
3010457,713-8,Eosinophils/100 leukocytes in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3014080,19941-4,Oxygen gas flow Oxygen delivery system,Clinical Observation,LOINC,Valid,Standard
3007194,9269-2,Glasgow coma score total,Clinical Observation,LOINC,Valid,Standard
3035519,38227-5,Braden scale total score,Clinical Observation,LOINC,Valid,Standard
3013650,751-8,Neutrophils [#/volume] in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3013869,706-2,Basophils/100 leukocytes in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3043111,32623-1,Platelet mean volume [Entitic volume] in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3008342,770-8,Neutrophils/100 leukocytes in Blood by Automated count,Lab Test,LOINC,Valid,Standard
1616852,96790-1,SOFA Total Score,Clinical Observation,LOINC,Valid,Standard
3053283,48643-1,"Glomerular filtration rate/1.73 sq M.predicted among blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",Lab Test,LOINC,Valid,Standard
3028615,711-2,Eosinophils [#/volume] in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3049187,48642-3,"Glomerular filtration rate/1.73 sq M.predicted among non-blacks [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",Lab Test,LOINC,Valid,Standard
3033575,742-7,Monocytes [#/volume] in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3013429,704-7,Basophils [#/volume] in Blood by Automated count,Lab Test,LOINC,Valid,Standard
3009542,20570-8,Hematocrit [Volume Fraction] of Blood,Lab Test,LOINC,Valid,Standard
42527086,60949-5,Mean airway pressure,Clinical Observation,LOINC,Valid,Standard
3022217,6301-6,INR in Platelet poor plasma by Coagulation assay,Lab Test,LOINC,Valid,Standard
3034426,5902-2,Prothrombin time (PT),Lab Test,LOINC,Valid,Standard
4137083,425401001,Pain intensity rating scale,Staging / Scales,SNOMED,Valid,Standard
3032445,50064-5,Ideal body weight,Clinical Observation,LOINC,Valid,Standard
3046900,33256-9,Leukocytes [#/volume] corrected for nucleated erythrocytes in Blood by Automated count,Lab Test,LOINC,Valid,Standard
4201235,301898006,Body surface area,Observable Entity,SNOMED,Valid,Standard
3030494,50957-0,Manual differential performed [Presence] in Blood,Lab Test,LOINC,Valid,Standard
3018677,14979-9,aPTT in Platelet poor plasma by Coagulation assay,Lab Test,LOINC,Valid,Standard
3005424,8277-6,Body surface area,Clinical Observation,LOINC,Valid,Standard
21490850,76212-0,Invasive Blood pressure,Clinical Observation,LOINC,Valid,Standard
40762636,59574-4,Body mass index (BMI) [Percentile],Clinical Observation,LOINC,Valid,Standard
3022875,20077-4,Positive end expiratory pressure setting Ventilator,Clinical Observation,LOINC,Valid,Standard
