Id,Code,Name,Standard Class,Vocab,Validity,Concept,Frequency
3031680,41904-4,Blood pressure measurement site,Clinical Observation,LOINC,Valid,Standard,13094507
4290243,6942003,Level of consciousness,Observable Entity,SNOMED,Valid,Standard,12816486
4183166,43173001,Orientation,Observable Entity,SNOMED,Valid,Standard,10252132
4022057,10546003,Site,Attribute,SNOMED,Valid,Non-standard,8894565
3019204,8361-8,Body position with respect to gravity,Clinical Observation,LOINC,Valid,Standard,7905348
4178501,363803005,Mobility,Observable Entity,SNOMED,Valid,Standard,6004509
40483702,443881004,Adelaide pediatric coma score,Observable Entity,SNOMED,Valid,Non-standard,5348763
4093836,248241002,Glasgow coma score,Observable Entity,SNOMED,Valid,Non-standard,4395002
4036936,16206004,Oxygen delivery,Observable Entity,SNOMED,Valid,Standard,4182867
4022240,225908003,Pain score,Observable Entity,SNOMED,Valid,Standard,3330790
3035225,38204-4,Pain primary location - Reported,Clinical Observation,LOINC,Valid,Standard,2668441
4311165,423662002,Respiratory secretion,Substance,SNOMED,Valid,Standard,2563599
4084277,281395000,Glasgow Coma Score eye opening subscore,Observable Entity,SNOMED,Valid,Non-standard,2515535
4084912,281397008,Glasgow Coma Scale verbal response subscore,Observable Entity,SNOMED,Valid,Non-standard,2512937
4083352,281396004,Glasgow Coma Scale motor response subscore,Observable Entity,SNOMED,Valid,Non-standard,2512095
43054909,72166-2,Tobacco smoking status,Clinical Observation,LOINC,Valid,Standard,2455396
4117957,257733005,Activity,Observable Entity,SNOMED,Valid,Standard,2029147
4078024,246268007,Position,Attribute,SNOMED,Valid,Non-standard,1987667
4203722,308335008,Patient encounter procedure,Procedure,SNOMED,Valid,Standard,1912513
4077569,246138005,Type of catheter,Attribute,SNOMED,Valid,Non-standard,1900541
3042184,39129-2,Moisture of Skin,Clinical Observation,LOINC,Valid,Standard,1737253
4129438,260686004,Method,Attribute,SNOMED,Valid,Non-standard,1712655
46273937,711150003,Long-term current use of anticoagulant,Context-dependent,SNOMED,Valid,Standard,1658624
4126821,260846005,Type of device,Attribute,SNOMED,Valid,Non-standard,1589868
3018668,8693-4,Mental status,Clinical Observation,LOINC,Valid,Standard,1580560
4090797,251977001,Single voided urinary volume,Observable Entity,SNOMED,Valid,Standard,1377034
4089953,251975009,Voided urinary volume,Observable Entity,SNOMED,Valid,Standard,1377034
4154920,271733001,Pupil reaction,Observable Entity,SNOMED,Valid,Standard,1255859
3016126,18717-9,Blood bank studies (set),Claims Attachment,LOINC,Valid,Standard,1119310
443364,305058001,Patient encounter status,Clinical Finding,SNOMED,Valid,Standard,1091968
4160499,371726000,Readiness to learn,Observable Entity,SNOMED,Valid,Standard,1091009
3037347,38226-7,Friction and shear Braden scale,Clinical Observation,LOINC,Valid,Standard,1070883
4277123,65452004,Radial pulse,Observable Entity,SNOMED,Valid,Standard,1037026
40762523,59460-6,Fall risk total [Morse Fall Scale],Survey,LOINC,Valid,Standard,1017020
4179298,298302000,Finding of gait,Clinical Finding,SNOMED,Valid,Standard,1015624
40762519,59456-4,Ambulatory aid [Morse Fall Scale],Survey,LOINC,Valid,Standard,1014949
4233025,438950009,Environment observable,Observable Entity,SNOMED,Valid,Standard,1010905
4190343,373713005,Sensory perception,Observable Entity,SNOMED,Valid,Standard,992396
4298503,384759009,Nutrition,Observable Entity,SNOMED,Valid,Standard,992245
432456,365967005,Alcohol intake - finding,Clinical Finding,SNOMED,Valid,Standard,962307
4224130,404989005,Ventilation status,Observable Entity,SNOMED,Valid,Standard,906655
40757642,54511-1,Behavior,Survey,LOINC,Valid,Standard,903301
0,NULL/Missing,NULL/Missing observation concept,Undefined,None,Invalid,Non-standard,901955
4042889,228366006,Finding relating to drug misuse behavior,Clinical Finding,SNOMED,Valid,Standard,784647
21494983,80288-4,Level of consciousness,Clinical Observation,LOINC,Valid,Standard,759167
4265708,364537001,Temperature of skin,Observable Entity,SNOMED,Valid,Standard,731972
21492835,80341-1,Respiratory effort,Clinical Observation,LOINC,Valid,Standard,728079
4237854,363918005,Speech observable,Observable Entity,SNOMED,Valid,Standard,716380
4265704,364528001,Skin observable,Observable Entity,SNOMED,Valid,Standard,671178
42529377,83183-4,Toileting - functional ability,Clinical Observation,LOINC,Valid,Standard,666494
619635,897148007,Alcoholic beverage intake,Observable Entity,SNOMED,Valid,Standard,658667
46272450,710814002,Long-term current use of drug therapy,Context-dependent,SNOMED,Valid,Standard,651474
4235390,408468001,Learning disability - specialty,Qualifier Value,SNOMED,Valid,Standard,633403
4337265,87042004,Bowel sounds,Observable Entity,SNOMED,Valid,Standard,632138
4272021,63448001,Gait,Observable Entity,SNOMED,Valid,Standard,627771
21492826,80332-0,Voiding pattern,Clinical Observation,LOINC,Valid,Standard,611656
44806751,802881000000104,Personal care,Procedure,SNOMED,Valid,Standard,580867
4309087,424483007,Transportation details,Observable Entity,SNOMED,Valid,Standard,558470
44816618,74720-4,Device name,Clinical Observation,LOINC,Valid,Standard,543516
4239021,6797001,Mean blood pressure,Observable Entity,SNOMED,Valid,Standard,531151
3003798,8357-6,Blood pressure method,Clinical Observation,LOINC,Valid,Standard,530664
4143454,33911006,Food appetite,Observable Entity,SNOMED,Valid,Standard,527491
3043970,39107-8,Color of Skin,Clinical Observation,LOINC,Valid,Standard,515677
4353713,250854009,Positive end expiratory pressure,Observable Entity,SNOMED,Valid,Standard,504461
43530822,609343002,Surgical incision wound,Morph Abnormality,SNOMED,Valid,Standard,501368
45766147,703248002,Appearance,Observable Entity,SNOMED,Valid,Standard,498860
4029625,13621006,Tidal volume,Observable Entity,SNOMED,Valid,Standard,482981
4248977,408919008,Psychosocial care,Procedure,SNOMED,Valid,Standard,472919
4235714,406190002,Detail of abuse,Observable Entity,SNOMED,Valid,Standard,449336
4301868,78564009,Pulse rate,Observable Entity,SNOMED,Valid,Standard,446945
4305545,419663003,Airway device present,Clinical Finding,SNOMED,Valid,Non-standard,442231
4225856,405035003,Swallowing status,Observable Entity,SNOMED,Valid,Standard,423892
4020646,116697009,Assists,Attribute,SNOMED,Valid,Non-standard,420162
4087179,248592006,Character of cough,Observable Entity,SNOMED,Valid,Standard,407802
37399733,3161000175102,Suicide risk,Observable Entity,SNOMED,Valid,Standard,376460
4220163,416811008,Tidal volume setting,Observable Entity,SNOMED,Valid,Standard,369286
46272451,710815001,Long-term current use of insulin,Context-dependent,SNOMED,Valid,Standard,363017
4062985,170804003,Ideal body weight,Observable Entity,SNOMED,Valid,Standard,357711
3006292,20126-9,Ventilator wave form,Clinical Observation,LOINC,Valid,Standard,338120
42539072,736537001,Confusion Assessment Method short version score,Observable Entity,SNOMED,Valid,Non-standard,336361
4353715,250870006,Ventilator finding,Clinical Finding,SNOMED,Valid,Standard,320671
4266626,364690008,Appearance of stool,Observable Entity,SNOMED,Valid,Standard,316663
40479778,444479000,Rate of blood flow through cardiovascular device,Observable Entity,SNOMED,Valid,Standard,306599
4139633,264904006,Peak pressure,Qualifier Value,SNOMED,Valid,Standard,300511
46234705,75320-2,Advance directive,Clinical Observation,LOINC,Valid,Standard,279575
4043369,129025006,Activity of daily living,Observable Entity,SNOMED,Valid,Standard,279303
4223743,422000003,Skin condition,Observable Entity,SNOMED,Valid,Standard,278803
44813836,861031000000101,Expected date of discharge from service,Observable Entity,SNOMED,Valid,Standard,274123
3009497,9033-2,Type of GI tube,Clinical Observation,LOINC,Valid,Standard,263377
4144271,266918002,Tobacco smoking consumption,Observable Entity,SNOMED,Valid,Non-standard,261582
4047982,135794007,Drug indicated,Context-dependent,SNOMED,Valid,Standard,257376
761697,1581000124103,Wound dressing type,Observable Entity,SNOMED,Valid,Standard,253033
43530807,609328004,Allergic disposition,Clinical Finding,SNOMED,Valid,Standard,251542
4270125,364186005,Urinary bladder feature,Observable Entity,SNOMED,Valid,Standard,242802
4216746,416595007,Positive end expiratory pressure setting,Observable Entity,SNOMED,Valid,Standard,218774
4164116,45710003,Sputum,Substance,SNOMED,Valid,Standard,212659
4197461,313193002,Peak flow rate (respiratory),Observable Entity,SNOMED,Valid,Standard,207095
36203774,86744-0,Care team,Clinical Observation,LOINC,Valid,Standard,206435
4076103,224130005,Household composition,Observable Entity,SNOMED,Valid,Standard,204474
4150612,278907009,Respiratory pattern,Observable Entity,SNOMED,Valid,Standard,197037
3013360,8684-3,History of Present illness,Clinical Observation,LOINC,Valid,Standard,195091
4060985,162864005,Body mass index 30+ - obesity,Clinical Finding,SNOMED,Valid,Standard,193392
36717001,131531000119103,Long-term current use of aspirin,Context-dependent,SNOMED,Valid,Standard,189746
4203711,308273005,Follow-up status,Clinical Finding,SNOMED,Valid,Standard,186844
4148417,266930008,Exercise history,Observable Entity,SNOMED,Valid,Standard,184082
4189711,39211005,Bowel action,Observable Entity,SNOMED,Valid,Standard,182950
4089233,248603002,Consistency of sputum,Observable Entity,SNOMED,Valid,Standard,176704
44786868,74213-0,Discharge instructions,Clinical Observation,LOINC,Valid,Standard,174568
4044908,129264002,Action,Qualifier Value,SNOMED,Valid,Standard,163678
437643,22325002,Abnormal gait,Clinical Finding,SNOMED,Valid,Standard,163222
4022885,226426002,Meat intake,Observable Entity,SNOMED,Valid,Standard,160577
44802820,517631000000100,Haemodialysis ultrafiltration rate,Observable Entity,SNOMED,Valid,Standard,160263
4143063,267065001,Urine appearance,Observable Entity,SNOMED,Valid,Standard,158711
4088035,243876005,Screening status,Clinical Finding,SNOMED,Valid,Standard,155860
4126966,305060004,Patient care statuses,Clinical Finding,SNOMED,Valid,Standard,151279
42528029,84095-9,Do not resuscitate,Clinical Observation,LOINC,Valid,Standard,150181
3028553,8716-3,Vital signs,Clinical Observation,LOINC,Valid,Standard,144493
45766277,703398004,Cardiac implant in situ,Clinical Finding,SNOMED,Valid,Non-standard,142841
36661379,95417-2,Whether this is the patient's first test for condition of interest,Clinical Observation,LOINC,Valid,Standard,142291
36661383,95421-4,Whether patient resides in a congregate care setting,Clinical Observation,LOINC,Valid,Standard,136063
36661380,95418-0,Whether patient is employed in a healthcare setting,Clinical Observation,LOINC,Valid,Standard,135576
4326744,75367002,Blood pressure,Observable Entity,SNOMED,Valid,Standard,130732
42528957,82810-3,Pregnancy status,Clinical Observation,LOINC,Valid,Standard,129469
37109774,723620004,Requires vaccination,Clinical Finding,SNOMED,Valid,Standard,125409
4073163,224362002,Employment status,Observable Entity,SNOMED,Valid,Standard,124832
40772152,69730-0,Instructions,Clinical Observation,LOINC,Valid,Standard,122560
36661381,95419-8,Whether the patient has symptoms related to condition of interest,Clinical Observation,LOINC,Valid,Standard,121461
4353718,250877009,Mandatory breath rate,Observable Entity,SNOMED,Valid,Standard,119561
3020278,10187-3,Review of systems Narrative - Reported,Clinical Observation,LOINC,Valid,Standard,119536
36661382,95420-6,Whether the patient was admitted to intensive care unit (ICU) for condition of interest,Clinical Observation,LOINC,Valid,Standard,119508
46236895,77974-4,Whether the patient was hospitalized for condition of interest,Clinical Observation,LOINC,Valid,Standard,118878
