Id,Code,Name,Standard Class,Vocab,Validity,Concept,Frequency
36713195,394421000119103,"Plain X-ray of chest, anteroposterior view",Procedure,SNOMED,Valid,Standard,957654
725068,71045,"Radiologic examination, chest; single view",Undefined,CPT4,Invalid,Non-standard,819873
2314047,94760,Noninvasive ear or pulse oximetry for oxygen saturation; single determination,Undefined,CPT4,Invalid,Non-standard,718812
2514441,99291,"Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",Undefined,CPT4,Invalid,Non-standard,592467
4163872,399208008,Plain X-ray of chest,Procedure,SNOMED,Valid,Standard,374327
2313869,93306,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, complete, with spectral Doppler echocardiography, and with color flow Doppler echocardiography",Undefined,CPT4,Invalid,Non-standard,366839
2211327,70450,"Computed tomography, head or brain; without contrast material",Undefined,CPT4,Invalid,Non-standard,358400
4187078,46825001,Electrocardiographic monitoring,Procedure,SNOMED,Valid,Standard,314082
2213283,88305,"Level IV - Surgical pathology, gross and microscopic examination Abortion - spontaneous/missed Artery, biopsy Bone marrow, biopsy Bone exostosis Brain/meninges, other than for tumor resection Breast, biopsy, not requiring microscopic evaluation of...",Undefined,CPT4,Invalid,Non-standard,239842
725069,71046,"Radiologic examination, chest; 2 views",Undefined,CPT4,Invalid,Non-standard,236555
2414398,99214,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on the date of the...",Undefined,CPT4,Invalid,Non-standard,210564
4335400,432370003,Computed tomography of abdomen and pelvis with contrast,Procedure,SNOMED,Valid,Standard,193313
4181300,42869005,"Diagnostic radiography of chest, combined PA and lateral",Procedure,SNOMED,Valid,Non-standard,185738
2314049,94762,Noninvasive ear or pulse oximetry for oxygen saturation; by continuous overnight monitoring (separate procedure),Undefined,CPT4,Invalid,Non-standard,166338
724944,74018,"Radiologic examination, abdomen; 1 view",Undefined,CPT4,Invalid,Non-standard,166214
2314035,94660,"Continuous positive airway pressure ventilation (CPAP), initiation and management",Undefined,CPT4,Invalid,Non-standard,164404
2514414,99239,Hospital inpatient or observation discharge day management; more than 30 minutes on the date of the encounter,Undefined,CPT4,Invalid,Non-standard,159950
2514413,99238,Hospital inpatient or observation discharge day management; 30 minutes or less on the date of the encounter,Undefined,CPT4,Invalid,Non-standard,159763
2414397,99213,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and low level of medical decision making. When using total time on the date of the enco...",Undefined,CPT4,Invalid,Non-standard,156512
4212044,416733000,Supine plain X-ray of abdomen,Procedure,SNOMED,Valid,Standard,149544
2314229,96413,"Chemotherapy administration, intravenous infusion technique; up to 1 hour, single or initial substance/drug",Undefined,CPT4,Invalid,Non-standard,143706
4327032,75385009,CT of thorax with contrast,Procedure,SNOMED,Valid,Standard,142445
36713176,383371000119108,CT of head without contrast,Procedure,SNOMED,Valid,Standard,133771
4090698,18640002,"Echography, M-mode",Procedure,SNOMED,Valid,Standard,129033
2211378,71250,"Computed tomography, thorax, diagnostic; without contrast material",Undefined,CPT4,Invalid,Non-standard,126195
4213297,39228008,Surgical pathology procedure,Procedure,SNOMED,Valid,Standard,114916
2109747,51798,"Measurement of post-voiding residual urine and/or bladder capacity by ultrasound, non-imaging",Undefined,CPT4,Invalid,Non-standard,113527
2213418,90471,"Immunization administration (includes percutaneous, intradermal, subcutaneous, or intramuscular injections); 1 vaccine (single or combination vaccine/toxoid)",Undefined,CPT4,Invalid,Non-standard,95842
2211779,76937,"Ultrasound guidance for vascular access requiring ultrasound evaluation of potential access sites, documentation of selected vessel patency, concurrent realtime ultrasound visualization of vascular needle entry, with permanent recording and report...",Undefined,CPT4,Invalid,Non-standard,95656
37117305,16457501000119102,CT of abdomen and pelvis without contrast,Procedure,SNOMED,Valid,Standard,91243
2213284,88307,"Level V - Surgical pathology, gross and microscopic examination Adrenal, resection Bone - biopsy/curettings Bone fragment(s), pathologic fracture Brain, biopsy Brain/meninges, tumor resection Breast, excision of lesion, requiring microscopic evalu...",Undefined,CPT4,Invalid,Non-standard,90643
2108261,36620,"Arterial catheterization or cannulation for sampling, monitoring or transfusion (separate procedure); percutaneous",Undefined,CPT4,Invalid,Non-standard,84921
4132629,410551005,Family history taking,Procedure,SNOMED,Valid,Standard,80458
0,NULL/Missing,NULL/Missing procedure concept,Undefined,None,Invalid,Non-standard,80396
2213572,90935,Hemodialysis procedure with single evaluation by a physician or other qualified health care professional,Undefined,CPT4,Invalid,Non-standard,80081
42628688,99152,"Moderate sedation services provided by the same physician or other qualified health care professional performing the diagnostic or therapeutic service that the sedation supports, requiring the presence of an independent trained observer to assist ...",Undefined,CPT4,Invalid,Non-standard,73863
2213576,90945,"Dialysis procedure other than hemodialysis (eg, peritoneal dialysis, hemofiltration, or other continuous renal replacement therapies), with single evaluation by a physician or other qualified health care professional",Undefined,CPT4,Invalid,Non-standard,70401
2314048,94761,"Noninvasive ear or pulse oximetry for oxygen saturation; multiple determinations (eg, during exercise)",Undefined,CPT4,Invalid,Non-standard,67662
2108190,36556,Insertion of non-tunneled centrally inserted central venous catheter; age 5 years or older,Undefined,CPT4,Invalid,Non-standard,64546
4104747,25656009,"Physical examination, complete",Procedure,SNOMED,Valid,Standard,61984
2514399,99215,"Office or other outpatient visit for the evaluation and management of an established patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the date of the enc...",Undefined,CPT4,Invalid,Non-standard,57771
4058335,169069000,CT of chest,Procedure,SNOMED,Valid,Standard,56989
2211420,72170,"Radiologic examination, pelvis; 1 or 2 views",Undefined,CPT4,Invalid,Non-standard,56380
4125350,303653007,CT of head,Procedure,SNOMED,Valid,Standard,56065
44808555,859311000000101,Provision of mechanical ventilator,Procedure,SNOMED,Valid,Standard,54897
4303829,418583000,US scan venography of lower limbs,Procedure,SNOMED,Valid,Standard,54568
36713283,572061000119104,CT cervical spine without contrast,Procedure,SNOMED,Valid,Standard,54152
4261497,45036003,Ultrasonography of abdomen,Procedure,SNOMED,Valid,Standard,53936
4102442,28520004,Venipuncture for blood test,Procedure,SNOMED,Valid,Standard,52982
2514571,99479,"Subsequent intensive care, per day, for the evaluation and management of the recovering low birth weight infant (present body weight of 1500-2500 grams)",Undefined,CPT4,Invalid,Non-standard,52863
4230911,40701008,Echocardiography,Procedure,SNOMED,Valid,Standard,51846
4300190,77485009,Cytopathology procedure or service,Procedure,SNOMED,Valid,Standard,51985
2514442,99292,"Critical care, evaluation and management of the critically ill or critically injured patient; each additional 30 minutes (List separately in addition to code for primary service)",Undefined,CPT4,Invalid,Non-standard,50500
46257688,77386,"Intensity modulated radiation treatment delivery (IMRT), includes guidance and tracking, when performed; complex",Undefined,CPT4,Invalid,Non-standard,50440
42627953,97162,"Physical therapy evaluation: moderate complexity, requiring these components: A history of present problem with 1-2 personal factors and/or comorbidities that impact the plan of care; An examination of body systems using standardized tests and mea...",Undefined,CPT4,Invalid,Non-standard,50184
2514572,99480,"Subsequent intensive care, per day, for the evaluation and management of the recovering infant (present body weight of 2501-5000 grams)",Undefined,CPT4,Invalid,Non-standard,50077
42628094,99153,"Moderate sedation services provided by the same physician or other qualified health care professional performing the diagnostic or therapeutic service that the sedation supports, requiring the presence of an independent trained observer to assist ...",Undefined,CPT4,Invalid,Non-standard,48477
2313871,93308,"Echocardiography, transthoracic, real-time with image documentation (2D), includes M-mode recording, when performed, follow-up or limited study",Undefined,CPT4,Invalid,Non-standard,46894
36717294,16327691000119101,MRI of brain with contrast,Procedure,SNOMED,Valid,Standard,46547
4167390,417936006,Magnetic resonance angiography of vascular structure of head,Procedure,SNOMED,Valid,Standard,46368
2211797,77001,"Fluoroscopic guidance for central venous access device placement, replacement (catheter only or complete), or removal (includes fluoroscopic guidance for vascular access and catheter manipulation, any necessary contrast injections through access s...",Undefined,CPT4,Invalid,Non-standard,45528
4147846,306005,Echography of kidney,Procedure,SNOMED,Valid,Standard,44323
2514403,99220,"Initial observation care, per day, for the evaluation and management of a patient, which requires these 3 key components: A comprehensive history; A comprehensive examination; and Medical decision making of high complexity. Counseling and/... (Dep...",Undefined,CPT4,Invalid,Non-standard,44183
2313975,93880,Duplex scan of extracranial arteries; complete bilateral study,Undefined,CPT4,Invalid,Non-standard,43512
2211480,73560,"Radiologic examination, knee; 1 or 2 views",Undefined,CPT4,Invalid,Non-standard,42162
