Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency
45768258,706294009,Basic diagnostic x-ray system,Physical Object,Device,SNOMED,Valid,Standard,1756979
45768197,706172005,Ventilator,Physical Object,Device,SNOMED,Valid,Standard,816756
45768256,706289009,Computed tomography system thermography system,Physical Object,Device,SNOMED,Valid,Standard,704166
4151913,314789007,Diagnostic imaging equipment,Physical Object,Device,SNOMED,Valid,Standard,683451
45768281,706332007,Ultrasound imaging system,Physical Object,Device,SNOMED,Valid,Standard,307694
4234381,90003000,Magnetic resonance imaging unit,Physical Object,Device,SNOMED,Valid,Standard,156429
45761494,467645007,CPAP nasal oxygen cannula,Physical Object,Device,SNOMED,Valid,Standard,156406
45760219,465839001,"Tracheostomy mask, oxygen",Physical Object,Device,SNOMED,Valid,Standard,65908
4139525,426854004,High flow oxygen nasal cannula,Physical Object,Device,SNOMED,Valid,Standard,64425
40481859,442111003,Intermittent pneumatic compression stockings,Physical Object,Device,SNOMED,Valid,Standard,59975
45768276,706321007,Nuclear medicine system,Physical Object,Device,SNOMED,Valid,Standard,50178
4121561,257467001,ECG lead,Physical Object,Device,SNOMED,Valid,Standard,45679
45760842,466713001,Basic nasal oxygen cannula,Physical Object,Device,SNOMED,Valid,Standard,45319
45768274,706318005,Mammographic x-ray system,Physical Object,Device,SNOMED,Valid,Standard,44805
4243754,37874008,Continuing positive airway pressure unit,Physical Object,Device,SNOMED,Valid,Standard,39902
4138614,425826004,BiPAP oxygen nasal cannula,Physical Object,Device,SNOMED,Valid,Standard,33300
4223622,40388003,Implant,Physical Object,Device,SNOMED,Valid,Standard,23692
2720870,Q9967,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",HCPCS,Device,HCPCS,Valid,Standard,14790
4219637,82449006,Peripheral intravenous catheter,Physical Object,Device,SNOMED,Valid,Standard,14626
45757906,462323006,PET system,Physical Object,Device,SNOMED,Valid,Standard,11173
2211851,77334,"Treatment devices, design and construction; complex (irregular blocks, special shields, compensators, wedges, molds or casts)",CPT4,Device,CPT4,Valid,Standard,7835
2720860,Q9957,"Injection, perflutren lipid microspheres, per ml",HCPCS,Device,HCPCS,Valid,Standard,7370
2721871,V2615,"Telescopic and other compound lens system, including distance vision telescopic, near vision telescopes and compound microscopic lens system",HCPCS,Device,HCPCS,Valid,Standard,6619
2615373,A9552,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",HCPCS,Device,HCPCS,Valid,Standard,6095
2615397,A9579,"Injection, gadolinium-based magnetic resonance contrast agent, not otherwise specified (nos), per ml",HCPCS,Device,HCPCS,Valid,Standard,6046
2719425,L0172,"Cervical, collar, semi-rigid thermoplastic foam, two-piece, prefabricated, off-the-shelf",HCPCS,Device,HCPCS,Valid,Standard,5531
