Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency
967823,9863,sodium chloride,Ingredient,Drug,RxNorm,Valid,Standard,773570
1125315,161,acetaminophen,Ingredient,Drug,RxNorm,Valid,Standard,671471
1000560,26225,ondansetron,Ingredient,Drug,RxNorm,Valid,Standard,465660
19049105,8591,potassium chloride,Ingredient,Drug,RxNorm,Valid,Standard,428464
1367571,5224,heparin,Ingredient,Drug,RxNorm,Valid,Standard,379555
989878,6387,lidocaine,Ingredient,Drug,RxNorm,Valid,Standard,356770
1154029,4337,fentanyl,Ingredient,Drug,RxNorm,Valid,Standard,339642
1112807,1191,aspirin,Ingredient,Drug,RxNorm,Valid,Standard,333619
941258,82003,docusate,Ingredient,Drug,RxNorm,Valid,Standard,311175
1560524,4850,glucose,Ingredient,Drug,RxNorm,Valid,Standard,301395
938268,36387,"sennosides, USP",Ingredient,Drug,RxNorm,Valid,Standard,271052
1154343,435,albuterol,Ingredient,Drug,RxNorm,Valid,Standard,258751
1307046,6918,metoprolol,Ingredient,Drug,RxNorm,Valid,Standard,252786
19036781,1901,calcium chloride,Ingredient,Drug,RxNorm,Valid,Standard,250351
956874,4603,furosemide,Ingredient,Drug,RxNorm,Valid,Standard,244249
948078,40790,pantoprazole,Ingredient,Drug,RxNorm,Valid,Standard,244197
1126658,3423,hydromorphone,Ingredient,Drug,RxNorm,Valid,Standard,234621
19011035,114202,lactate,Ingredient,Drug,RxNorm,Valid,Standard,233127
708298,6960,midazolam,Ingredient,Drug,RxNorm,Valid,Standard,230570
1545958,83367,atorvastatin,Ingredient,Drug,RxNorm,Valid,Standard,221470
986417,221147,polyethylene glycol 3350,Ingredient,Drug,RxNorm,Valid,Standard,206983
1129625,3498,diphenhydramine,Ingredient,Drug,RxNorm,Valid,Standard,206559
1301025,67108,enoxaparin,Ingredient,Drug,RxNorm,Valid,Standard,205162
1707687,11124,vancomycin,Ingredient,Drug,RxNorm,Valid,Standard,198662
1550023,86009,insulin lispro,Ingredient,Drug,RxNorm,Valid,Standard,184349
1771162,2180,cefazolin,Ingredient,Drug,RxNorm,Valid,Standard,179367
19111620,4511,folic acid,Ingredient,Drug,RxNorm,Valid,Standard,176753
953076,4278,famotidine,Ingredient,Drug,RxNorm,Valid,Standard,176022
1174888,5489,hydrocodone,Ingredient,Drug,RxNorm,Valid,Standard,174541
1373928,5470,hydralazine,Ingredient,Drug,RxNorm,Valid,Standard,170312
19095164,2418,cholecalciferol,Ingredient,Drug,RxNorm,Valid,Standard,170033
