Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency
2514408,No matching concept,CPT4 Code 99232,Undefined,Procedure,CPT4,Invalid,Non-standard,1324920
2514409,No matching concept,CPT4 Code 99233,Undefined,Procedure,CPT4,Invalid,Non-standard,1116973
2313816,No matching concept,CPT4 Code 93010,Undefined,Procedure,CPT4,Invalid,Non-standard,971746
36713195,394421000119103,"Plain X-ray of chest, anteroposterior view",Procedure,Procedure,SNOMED,Valid,Standard,957654
725068,No matching concept,CPT4 Code 71045,Undefined,Procedure,CPT4,Invalid,Non-standard,819873
2314047,No matching concept,CPT4 Code 94760,Undefined,Procedure,CPT4,Invalid,Non-standard,718812
2514441,No matching concept,CPT4 Code 99291,Undefined,Procedure,CPT4,Invalid,Non-standard,592467
2313815,No matching concept,CPT4 Code 93005,Undefined,Procedure,CPT4,Invalid,Non-standard,536253
2314026,No matching concept,CPT4 Code 94640,Undefined,Procedure,CPT4,Invalid,Non-standard,493851
2314294,No matching concept,CPT4 Code 97530,Undefined,Procedure,CPT4,Invalid,Non-standard,375132
4163872,399208008,Plain X-ray of chest,Procedure,Procedure,SNOMED,Valid,Standard,374327
2313869,No matching concept,CPT4 Code 93306,Undefined,Procedure,CPT4,Invalid,Non-standard,366839
2211327,No matching concept,CPT4 Code 70450,Undefined,Procedure,CPT4,Invalid,Non-standard,358400
2314284,No matching concept,CPT4 Code 97110,Undefined,Procedure,CPT4,Invalid,Non-standard,333955
2514407,No matching concept,CPT4 Code 99231,Undefined,Procedure,CPT4,Invalid,Non-standard,316171
2211361,No matching concept,CPT4 Code 71020,Undefined,Procedure,CPT4,Invalid,Non-standard,315141
2514406,No matching concept,CPT4 Code 99223,Undefined,Procedure,CPT4,Invalid,Non-standard,309420
4187078,46825001,Electrocardiographic monitoring,Procedure,Procedure,SNOMED,Valid,Standard,306294
2213283,No matching concept,CPT4 Code 88305,Undefined,Procedure,CPT4,Invalid,Non-standard,239842
725069,No matching concept,CPT4 Code 71046,Undefined,Procedure,CPT4,Invalid,Non-standard,236555
2314287,No matching concept,CPT4 Code 97116,Undefined,Procedure,CPT4,Invalid,Non-standard,228025
2314216,No matching concept,CPT4 Code 96375,Undefined,Procedure,CPT4,Invalid,Non-standard,220794
2414398,No matching concept,CPT4 Code 99214,Undefined,Observation,CPT4,Invalid,Non-standard,210564
4335400,432370003,Computed tomography of abdomen and pelvis with contrast,Procedure,Procedure,SNOMED,Valid,Standard,193313
2314213,No matching concept,CPT4 Code 96372,Undefined,Procedure,CPT4,Invalid,Non-standard,187338
4181300,42869005,"Diagnostic radiography of chest, combined PA and lateral",Procedure,Procedure,SNOMED,Valid,Non-standard,185738
2314206,No matching concept,CPT4 Code 96365,Undefined,Procedure,CPT4,Invalid,Non-standard,167117
2313814,No matching concept,CPT4 Code 93000,Undefined,Procedure,CPT4,Invalid,Non-standard,166836
2314049,No matching concept,CPT4 Code 94762,Undefined,Procedure,CPT4,Invalid,Non-standard,166338
724944,No matching concept,CPT4 Code 74018,Undefined,Procedure,CPT4,Invalid,Non-standard,166214
2314035,No matching concept,CPT4 Code 94660,Undefined,Procedure,CPT4,Invalid,Non-standard,164404
2211353,No matching concept,CPT4 Code 70553,Undefined,Procedure,CPT4,Invalid,Non-standard,160019
2514414,No matching concept,CPT4 Code 99239,Undefined,Procedure,CPT4,Invalid,Non-standard,159950
2314297,No matching concept,CPT4 Code 97535,Undefined,Procedure,CPT4,Invalid,Non-standard,159915
2514413,No matching concept,CPT4 Code 99238,Undefined,Procedure,CPT4,Invalid,Non-standard,159763
2514405,No matching concept,CPT4 Code 99222,Undefined,Procedure,CPT4,Invalid,Non-standard,158714
2314215,No matching concept,CPT4 Code 96374,Undefined,Procedure,CPT4,Invalid,Non-standard,158248
2313990,No matching concept,CPT4 Code 93970,Undefined,Procedure,CPT4,Invalid,Non-standard,158114
2414397,No matching concept,CPT4 Code 99213,Undefined,Observation,CPT4,Invalid,Non-standard,156512
4212044,416733000,Supine plain X-ray of abdomen,Procedure,Procedure,SNOMED,Valid,Standard,149544
2314229,No matching concept,CPT4 Code 96413,Undefined,Procedure,CPT4,Invalid,Non-standard,143706
4327032,75385009,CT of thorax with contrast,Procedure,Procedure,SNOMED,Valid,Standard,142445
36713176,383371000119108,CT of head without contrast,Procedure,Procedure,SNOMED,Valid,Standard,133771
4090698,18640002,"Echography, M-mode",Procedure,Procedure,SNOMED,Valid,Standard,129033
2314205,No matching concept,CPT4 Code 96361,Undefined,Procedure,CPT4,Invalid,Non-standard,128785
2211378,No matching concept,CPT4 Code 71250,Undefined,Procedure,CPT4,Invalid,Non-standard,126195
2211506,No matching concept,CPT4 Code 74000,Undefined,Procedure,CPT4,Invalid,Non-standard,117752
4213297,39228008,Surgical pathology procedure,Procedure,Procedure,SNOMED,Valid,Standard,114198
2109747,No matching concept,CPT4 Code 51798,Undefined,Procedure,CPT4,Invalid,Non-standard,113527
44816450,No matching concept,CPT4 Code 94669,Undefined,Procedure,CPT4,Invalid,Non-standard,108573
2108253,No matching concept,CPT4 Code 36591,Undefined,Procedure,CPT4,Invalid,Non-standard,107753
2211381,No matching concept,CPT4 Code 71275,Undefined,Procedure,CPT4,Invalid,Non-standard,100705
2314290,No matching concept,CPT4 Code 97140,Undefined,Procedure,CPT4,Invalid,Non-standard,97064
2213418,No matching concept,CPT4 Code 90471,Undefined,Procedure,CPT4,Invalid,Non-standard,95842
2211779,No matching concept,CPT4 Code 76937,Undefined,Procedure,CPT4,Invalid,Non-standard,95656
2314208,No matching concept,CPT4 Code 96367,Undefined,Procedure,CPT4,Invalid,Non-standard,93805
37117305,16457501000119102,CT of abdomen and pelvis without contrast,Procedure,Procedure,SNOMED,Valid,Standard,91243
2213284,No matching concept,CPT4 Code 88307,Undefined,Procedure,CPT4,Invalid,Non-standard,90643
2006700,87.49,Other chest x-ray,4-dig billing code,Procedure,ICD9Proc,Valid,Standard,88805
2108261,No matching concept,CPT4 Code 36620,Undefined,Procedure,CPT4,Invalid,Non-standard,84921
2314285,No matching concept,CPT4 Code 97112,Undefined,Procedure,CPT4,Invalid,Non-standard,83122
4132629,410551005,Family history taking,Procedure,Procedure,SNOMED,Valid,Standard,80458
0,NULL/Missing,NULL/Missing procedure concept,Undefined,Metadata,None,Invalid,Non-standard,80396
2213572,No matching concept,CPT4 Code 90935,Undefined,Procedure,CPT4,Invalid,Non-standard,80081
2314004,No matching concept,CPT4 Code 94010,Undefined,Procedure,CPT4,Invalid,Non-standard,76963
2211741,No matching concept,CPT4 Code 76705,Undefined,Procedure,CPT4,Invalid,Non-standard,76038
2314207,No matching concept,CPT4 Code 96366,Undefined,Procedure,CPT4,Invalid,Non-standard,75877
2314217,No matching concept,CPT4 Code 96376,Undefined,Procedure,CPT4,Invalid,Non-standard,74009
42628688,No matching concept,CPT4 Code 99152,Undefined,Procedure,CPT4,Invalid,Non-standard,73863
2726351,02HV33Z,"Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach",ICD10PCS,Procedure,ICD10PCS,Valid,Standard,73740
2514404,No matching concept,CPT4 Code 99221,Undefined,Procedure,CPT4,Invalid,Non-standard,72808
2213576,No matching concept,CPT4 Code 90945,Undefined,Procedure,CPT4,Invalid,Non-standard,70401
2314048,No matching concept,CPT4 Code 94761,Undefined,Procedure,CPT4,Invalid,Non-standard,67662
2313879,No matching concept,CPT4 Code 93320,Undefined,Procedure,CPT4,Invalid,Non-standard,64903
2108190,No matching concept,CPT4 Code 36556,Undefined,Procedure,CPT4,Invalid,Non-standard,64546
4104747,25656009,"Physical examination, complete",Procedure,Procedure,SNOMED,Valid,Standard,61984
