CPT4_Code,Description,Domain
0002M,"Liver disease, ten biochemical assays (ALT, A2-macroglobulin, apolipoprotein A-1, total bilirubin, GGT, haptoglobin, AST, glucose, total cholesterol and triglycerides) utilizing serum, prognostic algorithm reported as quantitative scores for fibrosis,...",Measurement
00103,"Anesthesia for reconstructive procedures of eyelid (eg, blepharoplasty, ptosis surgery)",Procedure
00120,"Anesthesia for procedures on external, middle, and inner ear including biopsy; not otherwise specified",Procedure
00126,"Anesthesia for procedures on external, middle, and inner ear including biopsy; tympanotomy",Procedure
0012T,"Arthroscopy, knee, surgical, implantation of osteochondral graft(s) for treatment of articular surface defect; autografts (Deprecated)",Procedure
00145,Anesthesia for procedures on eye; vitreoretinal surgery,Procedure
00170,"Anesthesia for intraoral procedures, including biopsy; not otherwise specified",Procedure
00176,"Anesthesia for intraoral procedures, including biopsy; radical surgery",Procedure
00190,Anesthesia for procedures on facial bones or skull; not otherwise specified,Procedure
00192,Anesthesia for procedures on facial bones or skull; radical surgery (including prognathism),Procedure
00211,Anesthesia for intracranial procedures; craniotomy or craniectomy for evacuation of hematoma,Procedure
00214,"Anesthesia for intracranial procedures; burr holes, including ventriculography",Procedure
00215,"Anesthesia for intracranial procedures; cranioplasty or elevation of depressed skull fracture, extradural (simple or compound)",Procedure
00222,Anesthesia for intracranial procedures; electrocoagulation of intracranial nerve,Procedure
00300,"Anesthesia for all procedures on the integumentary system, muscles and nerves of head, neck, and posterior trunk, not otherwise specified",Procedure
0030T,"Antiprothrombin (phospholipid cofactor) antibody, each Ig class (Deprecated)",Procedure
00320,"Anesthesia for all procedures on esophagus, thyroid, larynx, trachea and lymphatic system of neck; not otherwise specified, age 1 year or older",Procedure
00352,Anesthesia for procedures on major vessels of neck; simple ligation,Procedure
00400,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; not otherwise specified",Procedure
00402,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; reconstructive procedures on breast (eg, reduction or augmentation mammoplasty, muscle flaps)",Procedure
00404,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; radical or modified radical procedures on breast",Procedure
00410,"Anesthesia for procedures on the integumentary system on the extremities, anterior trunk and perineum; electrical conversion of arrhythmias",Procedure
0042T,"Cerebral perfusion analysis using computed tomography with contrast administration, including post-processing of parametric maps with determination of cerebral blood flow, cerebral blood volume, and mean transit time",Procedure
00474,"Anesthesia for partial rib resection; radical procedures (eg, pectus excavatum)",Procedure
0048T,"Implantation of a ventricular assist device, extracorporeal, percutaneous transseptal access, single or dual cannulation (Deprecated)",Procedure
00500,Anesthesia for all procedures on esophagus,Procedure
