Id	Code	Name	Standard Class	Domain	Vocab	Validity	Concept
8478	{ai}	avidity index	Unit	Unit	UCUM	Valid	Standard
8479	cP	centipoise	Unit	Unit	UCUM	Valid	Standard
8480	[EU]	Ehrlich unit	Unit	Unit	UCUM	Valid	Standard
8481	{EV}	EV	Unit	Unit	UCUM	Invalid	Non-standard
8482	pH	pH	Unit	Unit	UCUM	Valid	Standard
8483	{counts}/min	counts per minute	Unit	Unit	UCUM	Valid	Standard
8484	{CD59-deficient cells}	CD59-deficient cells	Unit	Unit	UCUM	Valid	Standard
8485	{DNR}	DNR	Unit	Unit	UCUM	Invalid	Non-standard
8486	{EOS}	EOS	Unit	Unit	UCUM	Invalid	Non-standard
8487	[GPS'U]	anti-phosphatidylserine IgG concentration (GPS) unit	Unit	Unit	UCUM	Valid	Standard
8488	{ISR}	immune status ratio	Unit	Unit	UCUM	Valid	Standard
8489	{LIV}	LIV	Unit	Unit	UCUM	Invalid	Non-standard
8490	{LPU}	LPU	Unit	Unit	UCUM	Invalid	Non-standard
8491	{LUS}	LUS	Unit	Unit	UCUM	Invalid	Non-standard
8492	{log}	Log	Unit	Unit	UCUM	Invalid	Non-standard
8493	{MLS}	MLS	Unit	Unit	UCUM	Invalid	Non-standard
8494	{MOM}	multiple of the median	Unit	Unit	UCUM	Valid	Standard
8495	[MPS'U]	anti-phosphatidylserine IgM concentration (MPS) unit	Unit	Unit	UCUM	Valid	Standard
8496	fL{mpv}	femtoliter platelet mean volume	Unit	Unit	UCUM	Valid	Standard
8497	{n/a}	N/A	Unit	Unit	UCUM	Invalid	Non-standard
8498	{res}	RES	Unit	Unit	UCUM	Invalid	Non-standard
8499	{rev}	REV	Unit	Unit	UCUM	Invalid	Non-standard
8500	{sau}	SAU	Unit	Unit	UCUM	Invalid	Non-standard
8501	{sgu}	SGU	Unit	Unit	UCUM	Invalid	Non-standard
8502	{smu}	SMU	Unit	Unit	UCUM	Invalid	Non-standard
8503	{DILS}	DILS	Unit	Unit	UCUM	Invalid	Non-standard
8504	g	gram	Unit	Unit	UCUM	Valid	Standard
8505	h	hour	Unit	Unit	UCUM	Valid	Standard
8506	{LU30}	lytic unit 30 (number of cells to achieve 30% lysis of the target cells)	Unit	Unit	UCUM	Valid	Standard
8508	{note}	Note	Unit	Unit	UCUM	Invalid	Non-standard
8509	{risk}	risk	Unit	Unit	UCUM	Valid	Standard
8510	[U]	unit	Unit	Unit	UCUM	Valid	Standard
8511	wk	week	Unit	Unit	UCUM	Valid	Standard
8512	d	day	Unit	Unit	UCUM	Valid	Standard
8513	{dose}	dose	Unit	Unit	UCUM	Invalid	Non-standard
8514	%{REF}	% REF	Unit	Unit	UCUM	Invalid	Non-standard
8517	F	Farad	Unit	Unit	UCUM	Valid	Standard
8518	H	Henry	Unit	Unit	UCUM	Valid	Standard
8519	L	liter	Unit	Unit	UCUM	Valid	Standard
8520	{molar}	Molar	Unit	Unit	UCUM	Invalid	Non-standard
8523	{ratio}	ratio	Unit	Unit	UCUM	Valid	Standard
8524	.	times	Unit	Unit	UCUM	Valid	Standard
8525	{titer}	titer	Unit	Unit	UCUM	Valid	Standard
8526	{tot}	Total	Unit	Unit	UCUM	Invalid	Non-standard
8528	y	year	Unit	Unit	UCUM	Invalid	Non-standard
8529	{index}	index	Unit	Unit	UCUM	Valid	Standard
8530	{ref}	{ref}	Unit	Unit	UCUM	Invalid	Non-standard
8531	{DNRTNP}	DNRTNP	Unit	Unit	UCUM	Invalid	Non-standard
8533	in	Inches	Unit	Unit	UCUM	Invalid	Non-standard
8534	{motile}	Motile	Unit	Unit	UCUM	Invalid	Non-standard
8535	{normal}	Normal	Unit	Unit	UCUM	Invalid	Non-standard
8538	{uptake}	Uptake	Unit	Unit	UCUM	Invalid	Non-standard
8539	{vol}	Volume	Unit	Unit	UCUM	Invalid	Non-standard
8540	bu	bushel	Unit	Unit	UCUM	Invalid	Non-standard
8541	/min	per minute	Unit	Unit	UCUM	Valid	Standard
8542	[APS'U]	anti-phosphatidylserine IgA concentration (APS) unit	Unit	Unit	UCUM	Valid	Standard
8543	A	ampere	Unit	Unit	UCUM	Valid	Standard
8545	[{GPS'IgG}]	GPS IgG	Unit	Unit	UCUM	Invalid	Non-standard
8547	[M'U]	M (anti-prothrombin IgG concentration) unit	Unit	Unit	UCUM	Valid	Standard
8548	[{MPS'IgM}]	MPS IgM	Unit	Unit	UCUM	Invalid	Non-standard
8549	10*6	million	Unit	Unit	UCUM	Valid	Standard
8550	min	minute	Unit	Unit	UCUM	Valid	Standard
8553	%{sperm'binding}	percent of sperm with positive binding	Unit	Unit	UCUM	Valid	Standard
8554	%	percent	Unit	Unit	UCUM	Valid	Standard
8555	s	second	Unit	Unit	UCUM	Valid	Standard
8556	[EIA'U]	EIA unit	Unit	Unit	UCUM	Valid	Standard
8560	[JDF'U]	Juvenile Diabetes Foundation unit	Unit	Unit	UCUM	Valid	Standard
8561	[{of'tot}]	Of Total	Unit	Unit	UCUM	Invalid	Non-standard
8564	pg	picogram	Unit	Unit	UCUM	Valid	Standard
