original_concept_id,original_code,original_name,original_vocab,snomed_concept_id,snomed_concept_code,snomed_concept_name,snomed_vocab,mapping_relationship,frequency
2211851,77334,"Treatment devices, design and construction; complex (irregular blocks, special shields, compensators, wedges, molds or casts)",CPT4,4235761,90564003,Field block design and fabrication,SNOMED,Is a,7835
2719510,L0810,"Halo procedure, cervical halo incorporated into jacket vest",HCPCS,4036582,228595003,Provision of orthosis,SNOMED,Is a,480
2719957,L4205,"Repair of orthotic device, labor component, per 15 minutes",HCPCS,4030855,14490000,Orthotic device construction and fitting,SNOMED,Subsumes,315
2720001,L5450,"Immediate post surgical or early fitting, application of non-weight bearing rigid dressing, below knee",HCPCS,4305581,3895009,Application of dressing,SNOMED,Is a,211
2720091,L5700,"Replacement, socket, below knee, molded to patient model",HCPCS,4297706,384728007,Replacement of device,SNOMED,Subsumes,157
2720092,L5701,"Replacement, socket, above knee/knee disarticulation, including attachment plate, molded to patient model",HCPCS,4297706,384728007,Replacement of device,SNOMED,Is a,87
2720002,L5460,"Immediate post surgical or early fitting, application of non-weight bearing rigid dressing, above knee",HCPCS,4305581,3895009,Application of dressing,SNOMED,Is a,78
2615434,B4081,Nasogastric tubing with stylet,HCPCS,4227418,87750000,Insertion of nasogastric tube,SNOMED,Subsumes,14
2719997,L5400,"Immediate post surgical or early fitting, application of initial rigid dressing, including fitting, alignment, suspension, and one cast change, below knee",HCPCS,4305581,3895009,Application of dressing,SNOMED,Is a,8
2719825,L3620,"Transfer of an orthosis from one shoe to another, solid stirrup, existing",HCPCS,4208804,312346007,Provision of foot orthosis,SNOMED,Subsumes,6
2719994,L5331,"Hip disarticulation, canadian type, molded socket, endoskeletal system, hip joint, single axis knee, sach foot",HCPCS,4242396,38162008,Disarticulation of hip,SNOMED,Is a,3
2720328,L6965,"Shoulder disarticulation, external power, molded inner socket, removable shoulder shell, shoulder bulkhead, humeral section, mechanical elbow, forearm, otto bock or equal electrodes, cables, two batteries and one charger, myoelectronic control of termi...",HCPCS,4030398,13995008,Amputation of arm through shoulder,SNOMED,Is a,2
2720196,L6550,"Shoulder disarticulation, molded socket, endoskeletal system, including soft prosthetic tissue shaping",HCPCS,4030398,13995008,Amputation of arm through shoulder,SNOMED,Is a,1
2720183,L6310,"Shoulder disarticulation, passive restoration (complete prosthesis)",HCPCS,4030398,13995008,Amputation of arm through shoulder,SNOMED,Subsumes,1
2720179,L6200,"Elbow disarticulation, molded socket, outside locking hinge, forearm",HCPCS,4052082,23425005,Amputation of arm through elbow,SNOMED,Subsumes,1
2719998,L5410,"Immediate post surgical or early fitting, application of initial rigid dressing, including fitting, alignment and suspension, below knee, each additional cast change and realignment",HCPCS,4305581,3895009,Application of dressing,SNOMED,Is a,1
2719967,L4392,"Replacement, soft interface material, static afo",HCPCS,4042650,118710009,Procedure on lower extremity,SNOMED,Is a,1
2719826,L3630,"Transfer of an orthosis from one shoe to another, solid stirrup, new",HCPCS,4208804,312346007,Provision of foot orthosis,SNOMED,Is a,1
2719823,L3600,"Transfer of an orthosis from one shoe to another, caliper plate, existing",HCPCS,4208804,312346007,Provision of foot orthosis,SNOMED,Is a,1
2614947,A4637,"Replacement, tip, cane, crutch, walker, each.",HCPCS,4297706,384728007,Replacement of device,SNOMED,Is a,1
2720870,Q9967,"Low osmolar contrast material, 300-399 mg/ml iodine concentration, per ml",HCPCS,4265663,,Contrast media,SNOMED,Semantic match (strict validated),14790
2721871,V2615,"Telescopic and other compound lens system, including distance vision telescopic, near vision telescopes and compound microscopic lens system",HCPCS,4176764,,Lens,SNOMED,Semantic match (strict validated),6619
2615373,A9552,"Fluorodeoxyglucose f-18 fdg, diagnostic, per study dose, up to 45 millicuries",HCPCS,40304969,,Fluorodeoxyglucose F 18,SNOMED,Semantic match (strict validated),6095
2719532,L0999,"Addition to spinal orthosis, not otherwise specified",HCPCS,4141418,,Spinal orthosis,SNOMED,Semantic match (strict validated),4000
2719504,L0637,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid anterior and posterior frame/panels, posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panels, produces intracavitary pressure t...",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),1653
2719552,L1220,"Addition to tlso, (low profile), anterior thoracic extension",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),550
2719458,L0462,"Tlso, triplanar control, modular segmented spinal system, three rigid plastic shells, posterior extends from the sacrococcygeal junction and terminates just inferior to the scapular spine, anterior extends from the symphysis pubis to the sternal notch,...",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),124
2720861,Q9958,"High osmolar contrast material, up to 149 mg/ml iodine concentration, per ml",HCPCS,4265663,,Contrast media,SNOMED,Semantic match (strict validated),120
2720866,Q9963,"High osmolar contrast material, 350-399 mg/ml iodine concentration, per ml",HCPCS,4265663,,Contrast media,SNOMED,Semantic match (strict validated),103
2719506,L0639,"Lumbar-sacral orthosis, sagittal-coronal control, rigid shell(s)/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, anterior extends from symphysis pubis to xyphoid, produces intracavitary pressure to reduce load on the intervert...",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),93
2615381,A9560,"Technetium tc-99m labeled red blood cells, diagnostic, per study dose, up to 30 millicuries",HCPCS,4146428,,Technetium Tc 99m,SNOMED,Semantic match (strict validated),75
2615333,A9512,"Technetium tc-99m pertechnetate, diagnostic, per millicurie",HCPCS,4146428,,Technetium Tc 99m,SNOMED,Semantic match (strict validated),71
2719494,L0627,"Lumbar orthosis, sagittal control, with rigid anterior and posterior panels, posterior extends from l-1 to below l-5 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include padding, s...",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),41
2719492,L0625,"Lumbar orthosis, flexible, provides lumbar support, posterior extends from l-1 to below l-5 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include pendulous abdomen design, shoulder...",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),31
2719463,L0472,"Tlso, triplanar control, hyperextension, rigid anterior and lateral frame extends from symphysis pubis to sternal notch with two anterior components (one pubic and one sternal), posterior and lateral pads with straps and closures, limits spinal flexion...",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),30
2719554,L1240,"Addition to tlso, (low profile), lumbar derotation pad",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),11
2719498,L0631,"Lumbar-sacral orthosis, sagittal control, with rigid anterior and posterior panels, posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, m...",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),7
2719495,L0628,"Lumbar-sacral orthosis, flexible, provides lumbo-sacral support, posterior extends from sacrococcygeal junction to t-9 vertebra, produces intracavitary pressure to reduce load on the intervertebral discs, includes straps, closures, may include stays, s...",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),7
2719500,L0633,"Lumbar-sacral orthosis, sagittal-coronal control, with rigid posterior frame/panel(s), posterior extends from sacrococcygeal junction to t-9 vertebra, lateral strength provided by rigid lateral frame/panels, produces intracavitary pressure to reduce lo...",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),7
2719562,L1499,"Spinal orthosis, not otherwise specified",HCPCS,4141418,,Spinal orthosis,SNOMED,Semantic match (strict validated),6
2719470,L0486,"Tlso, triplanar control, two piece rigid plastic shell with interface liner, multiple straps and closures, posterior extends from sacrococcygeal junction and terminates just inferior to scapular spine, anterior extends from symphysis pubis to sternal n...",HCPCS,4234544,,Lumbar orthosis,SNOMED,Semantic match (strict validated),5
