original_concept_id,original_code,original_name,original_vocab,snomed_concept_id,snomed_concept_code,snomed_concept_name,snomed_vocab,mapping_relationship,frequency
3195542,27320001000004102,Advance directive not in chart,Nebraska Lexicon,4151021,310301000,Advanced directive status,SNOMED,Is a,32507
3173773,3330001000004107,Family history of uterine cancer,Nebraska Lexicon,4050798,160299006,FH: neoplasm of uterus,SNOMED,Subsumes,1165
3187032,26810001000004106,Family history of cerebral aneurysm,Nebraska Lexicon,4148407,266894000,FH: Cardiovascular disease,SNOMED,Is a,1044
3183518,3050001000004105,Family history of melanoma,Nebraska Lexicon,4171594,275937001,Family history of malignant neoplasm,SNOMED,Is a,623
45946744,162542,Adhesive tape,CIEL,4225586,84756000,Adhesive tape,SNOMED,Maps to,603
3169404,12740001000004102,Family history of pulmonary embolism,Nebraska Lexicon,4148407,266894000,FH: Cardiovascular disease,SNOMED,Subsumes,432
3169855,3140001000004100,Family history of brain aneurysm,Nebraska Lexicon,4148407,266894000,FH: Cardiovascular disease,SNOMED,Subsumes,416
3186046,9030001000004108,Family history of thyroid cancer,Nebraska Lexicon,4171594,275937001,Family history of malignant neoplasm,SNOMED,Is a,415
3183101,3480001000004107,Family history of cervical cancer,Nebraska Lexicon,4053374,160298003,FH: neoplasm of cervix,SNOMED,Is a,414
3168373,3070001000004108,Family history of colon polyps,Nebraska Lexicon,4144262,266883004,Family history of neoplasm,SNOMED,Subsumes,393
3265453,260152009,Cat dander,Nebraska Lexicon,4125384,260152009,Cat dander,SNOMED,Maps to,203
3225200,75413007,Peanut,Nebraska Lexicon,4328724,75413007,Arachis hypogaea,SNOMED,Maps to,188
45951856,162539,Mold,CIEL,4224654,84489001,Mold,SNOMED,Maps to,166
3171243,3430001000004100,Family history of testicular cancer,Nebraska Lexicon,4144262,266883004,Family history of neoplasm,SNOMED,Subsumes,146
3053893,89811004,Gluten,Nebraska Lexicon,4231692,89811004,Gluten,SNOMED,Maps to,135
3341086,260154005,Dog dander,Nebraska Lexicon,4128602,260154005,Dog dander,SNOMED,Maps to,100
3421369,442571000124108,Tree nut,Nebraska Lexicon,36713251,442571000124108,Tree nut,SNOMED,Maps to,95
3354837,256307007,Banana,Nebraska Lexicon,4106295,256307007,Banana,SNOMED,Maps to,67
40192479,SDOH_45,Mold,PPI,37117131,16090331000119101,Exposure to mold,SNOMED,Maps to,166
3334607,256277009,Grass pollen,Nebraska Lexicon,4117479,256277009,Grass pollen,SNOMED,Maps to,67
3353751,256313003,Pineapple,Nebraska Lexicon,4106297,256313003,Pineapple,SNOMED,Maps to,53
3173276,20680001000004108,Family history of Addison's disease,Nebraska Lexicon,4050799,160301004,Family history of endocrine disorders,SNOMED,Subsumes,52
3395358,128488006,House dust,Nebraska Lexicon,4027234,128488006,House dust,SNOMED,Maps to,51
3214009,734881000,Tomato,Nebraska Lexicon,42536194,734881000,Tomato,SNOMED,Maps to,43
3054152,55242003,Tomato,Nebraska Lexicon,4208416,55242003,Lycopersicon esculentum,SNOMED,Maps to,43
3291917,735045008,Mushroom,Nebraska Lexicon,42536301,735045008,Mushroom,SNOMED,Maps to,42
3223094,735211005,Coconut,Nebraska Lexicon,42536405,735211005,Coconut,SNOMED,Maps to,42
45951470,162177,Wheat,CIEL,4261709,412071004,Wheat,SNOMED,Maps to,41
3379579,65256004,Wheat,Nebraska Lexicon,4278230,65256004,Triticum aestivum - wheat,SNOMED,Maps to,41
3294778,6788000,Wheat,Nebraska Lexicon,4194764,6788000,Triticum - wheat,SNOMED,Maps to,41
3175262,412071004,Wheat,Nebraska Lexicon,4261709,412071004,Wheat,SNOMED,Maps to,41
3283208,69334009,Ragweed,Nebraska Lexicon,4239367,69334009,Ambrosia,SNOMED,Maps to,40
2618150,H1000,"Prenatal care, at-risk assessment",HCPCS,4024608,225314003,Risk management,SNOMED,Is a,38
43533367,G8981,"Changing & maintaining body position functional limitation, current status, at therapy episode outset and at reporting intervals (Deprecated)",HCPCS,4041848,229824005,Positioning patient,SNOMED,Subsumes,35
3190203,3190001000004107,Family history of retinitis pigmentosa,Nebraska Lexicon,4050813,160346003,FH: Eye disorder,SNOMED,Is a,33
953288,G2012,"Brief communication technology-based service, e.g. virtual check-in, by a physician or other qualified health care professional who can report evaluation and management services, provided to an established patient, not originating from a r... (Deprecated)",HCPCS,4088561,185316007,Indirect encounter,SNOMED,Is a,32
3302493,735047000,Onion,Nebraska Lexicon,42539479,735047000,Onion,SNOMED,Maps to,30
3250324,2447002,Corn,Nebraska Lexicon,4087403,2447002,Zea - corn,SNOMED,Maps to,30
3216763,80397000,Onion,Nebraska Lexicon,4213608,80397000,Allium cepa,SNOMED,Maps to,30
45441520,1151.00,No known allergies,Read,37396387,716186003,No known allergy,SNOMED,Maps to,29
3412164,260147004,House dust mite,Nebraska Lexicon,4125382,260147004,House dust mite,SNOMED,Maps to,29
3302473,264287008,Animal dander,Nebraska Lexicon,4138133,264287008,Animal dander,SNOMED,Maps to,29
43533325,G8982,"Changing & maintaining body position functional limitation, projected goal status, at therapy episode outset, at reporting intervals, and at discharge or to end reporting (Deprecated)",HCPCS,4041848,229824005,Positioning patient,SNOMED,Subsumes,24
3356622,735249009,Avocado,Nebraska Lexicon,42536428,735249009,Avocado,SNOMED,Maps to,24
