Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency,Original_Id,Original_Code,Original_Name,Original_Vocab,Mapping_Applied,Mapping_Relationship
3031680,41904-4,Blood pressure measurement site,Clinical Observation,Observation,LOINC,Valid,Standard,13094507,3031680,41904-4,Blood pressure measurement site,LOINC,No,
4290243,6942003,Level of consciousness,Observable Entity,Observation,SNOMED,Valid,Standard,12816486,4290243,6942003,Level of consciousness,SNOMED,No,
4183166,43173001,Orientation,Observable Entity,Observation,SNOMED,Valid,Standard,10252132,4183166,43173001,Orientation,SNOMED,No,
4022057,10546003,Site,Attribute,Observation,SNOMED,Valid,Non-standard,8894565,4022057,10546003,Site,SNOMED,No,
3019204,8361-8,Body position with respect to gravity,Clinical Observation,Observation,LOINC,Valid,Standard,7905348,3019204,8361-8,Body position with respect to gravity,LOINC,No,
1340204,OMOP5165859,History of event,Context-dependent,Observation,OMOP Extension,Valid,Standard,6084327,1340204,OMOP5165859,History of event,OMOP Extension,No,
4178501,363803005,Mobility,Observable Entity,Observation,SNOMED,Valid,Standard,6004509,4178501,363803005,Mobility,SNOMED,No,
40483702,443881004,Adelaide pediatric coma score,Observable Entity,Measurement,SNOMED,Valid,Non-standard,5348763,40483702,443881004,Adelaide pediatric coma score,SNOMED,No,
4093836,248241002,Glasgow coma score,Observable Entity,Measurement,SNOMED,Valid,Non-standard,4395002,4093836,248241002,Glasgow coma score,SNOMED,No,
4036936,16206004,Oxygen delivery,Observable Entity,Measurement,SNOMED,Valid,Standard,4182867,4036936,16206004,Oxygen delivery,SNOMED,No,
4022240,225908003,Pain score,Observable Entity,Measurement,SNOMED,Valid,Standard,3330790,4022240,225908003,Pain score,SNOMED,No,
903652,OMOP5181832,Findings of tobacco or its derivatives use or exposure,Clinical Finding,Observation,OMOP Extension,Valid,Standard,3013420,903652,OMOP5181832,Findings of tobacco or its derivatives use or exposure,OMOP Extension,No,
3035225,38204-4,Pain primary location - Reported,Clinical Observation,Observation,LOINC,Valid,Standard,2668441,3035225,38204-4,Pain primary location - Reported,LOINC,No,
4311165,423662002,Respiratory secretion,Substance,Observation,SNOMED,Valid,Standard,2563599,4311165,423662002,Respiratory secretion,SNOMED,No,
4084277,281395000,Glasgow Coma Score eye opening subscore,Observable Entity,Measurement,SNOMED,Valid,Non-standard,2515535,4084277,281395000,Glasgow Coma Score eye opening subscore,SNOMED,No,
4084912,281397008,Glasgow Coma Scale verbal response subscore,Observable Entity,Measurement,SNOMED,Valid,Non-standard,2512937,4084912,281397008,Glasgow Coma Scale verbal response subscore,SNOMED,No,
4083352,281396004,Glasgow Coma Scale motor response subscore,Observable Entity,Measurement,SNOMED,Valid,Non-standard,2512095,4083352,281396004,Glasgow Coma Scale motor response subscore,SNOMED,No,
43054909,72166-2,Tobacco smoking status,Clinical Observation,Observation,LOINC,Valid,Standard,2455396,43054909,72166-2,Tobacco smoking status,LOINC,No,
4117957,257733005,Activity,Observable Entity,Observation,SNOMED,Valid,Standard,2029147,4117957,257733005,Activity,SNOMED,No,
4078024,246268007,Position,Attribute,Observation,SNOMED,Valid,Non-standard,1987667,4078024,246268007,Position,SNOMED,No,
4203722,308335008,Patient encounter procedure,Procedure,Observation,SNOMED,Valid,Standard,1912513,4203722,308335008,Patient encounter procedure,SNOMED,No,
4077569,246138005,Type of catheter,Attribute,Observation,SNOMED,Valid,Non-standard,1900541,4077569,246138005,Type of catheter,SNOMED,No,
3042184,39129-2,Moisture of Skin,Clinical Observation,Measurement,LOINC,Valid,Standard,1737253,3042184,39129-2,Moisture of Skin,LOINC,No,
4129438,260686004,Method,Attribute,Observation,SNOMED,Valid,Non-standard,1712655,4129438,260686004,Method,SNOMED,No,
46273937,711150003,Long-term current use of anticoagulant,Context-dependent,Observation,SNOMED,Valid,Standard,1658624,46273937,711150003,Long-term current use of anticoagulant,SNOMED,No,
4126821,260846005,Type of device,Attribute,Observation,SNOMED,Valid,Non-standard,1589868,4126821,260846005,Type of device,SNOMED,No,
3018668,8693-4,Mental status,Clinical Observation,Observation,LOINC,Valid,Standard,1580560,3018668,8693-4,Mental status,LOINC,No,
4090797,251977001,Single voided urinary volume,Observable Entity,Measurement,SNOMED,Valid,Standard,1377034,4090797,251977001,Single voided urinary volume,SNOMED,No,
4089953,251975009,Voided urinary volume,Observable Entity,Measurement,SNOMED,Valid,Standard,1377034,4089953,251975009,Voided urinary volume,SNOMED,No,
4154920,271733001,Pupil reaction,Observable Entity,Observation,SNOMED,Valid,Standard,1255859,4154920,271733001,Pupil reaction,SNOMED,No,
3016126,18717-9,Blood bank studies (set),Claims Attachment,Observation,LOINC,Valid,Standard,1119310,3016126,18717-9,Blood bank studies (set),LOINC,No,
443364,305058001,Patient encounter status,Clinical Finding,Observation,SNOMED,Valid,Standard,1091968,443364,305058001,Patient encounter status,SNOMED,No,
4160499,371726000,Readiness to learn,Observable Entity,Observation,SNOMED,Valid,Standard,1091009,4160499,371726000,Readiness to learn,SNOMED,No,
3037347,38226-7,Friction and shear Braden scale,Clinical Observation,Measurement,LOINC,Valid,Standard,1070883,3037347,38226-7,Friction and shear Braden scale,LOINC,No,
4277123,65452004,Radial pulse,Observable Entity,Measurement,SNOMED,Valid,Standard,1037026,4277123,65452004,Radial pulse,SNOMED,No,
40762523,59460-6,Fall risk total [Morse Fall Scale],Survey,Observation,LOINC,Valid,Standard,1017020,40762523,59460-6,Fall risk total [Morse Fall Scale],LOINC,No,
4179298,298302000,Finding of gait,Clinical Finding,Observation,SNOMED,Valid,Standard,1015624,4179298,298302000,Finding of gait,SNOMED,No,
40762519,59456-4,Ambulatory aid [Morse Fall Scale],Survey,Observation,LOINC,Valid,Standard,1014949,40762519,59456-4,Ambulatory aid [Morse Fall Scale],LOINC,No,
4233025,438950009,Environment observable,Observable Entity,Observation,SNOMED,Valid,Standard,1010905,4233025,438950009,Environment observable,SNOMED,No,
4190343,373713005,Sensory perception,Observable Entity,Observation,SNOMED,Valid,Standard,992396,4190343,373713005,Sensory perception,SNOMED,No,
4298503,384759009,Nutrition,Observable Entity,Observation,SNOMED,Valid,Standard,992245,4298503,384759009,Nutrition,SNOMED,No,
432456,365967005,Alcohol intake - finding,Clinical Finding,Observation,SNOMED,Valid,Standard,962307,432456,365967005,Alcohol intake - finding,SNOMED,No,
4224130,404989005,Ventilation status,Observable Entity,Observation,SNOMED,Valid,Standard,906655,4224130,404989005,Ventilation status,SNOMED,No,
40757642,54511-1,Behavior,Survey,Observation,LOINC,Valid,Standard,903301,40757642,54511-1,Behavior,LOINC,No,
0,NULL/Missing,NULL/Missing observation concept,Undefined,Metadata,None,Invalid,Non-standard,901955,0,NULL/Missing,NULL/Missing observation concept,None,No,
4042889,228366006,Finding relating to drug misuse behavior,Clinical Finding,Observation,SNOMED,Valid,Standard,784647,4042889,228366006,Finding relating to drug misuse behavior,SNOMED,No,
21494983,80288-4,Level of consciousness,Clinical Observation,Observation,LOINC,Valid,Standard,759167,21494983,80288-4,Level of consciousness,LOINC,No,
4265708,364537001,Temperature of skin,Observable Entity,Measurement,SNOMED,Valid,Standard,731972,4265708,364537001,Temperature of skin,SNOMED,No,
21492835,80341-1,Respiratory effort,Clinical Observation,Observation,LOINC,Valid,Standard,728079,21492835,80341-1,Respiratory effort,LOINC,No,
4237854,363918005,Speech observable,Observable Entity,Observation,SNOMED,Valid,Standard,716380,4237854,363918005,Speech observable,SNOMED,No,
4265704,364528001,Skin observable,Observable Entity,Observation,SNOMED,Valid,Standard,671178,4265704,364528001,Skin observable,SNOMED,No,
42529377,83183-4,Toileting - functional ability,Clinical Observation,Observation,LOINC,Valid,Standard,666494,42529377,83183-4,Toileting - functional ability,LOINC,No,
619635,897148007,Alcoholic beverage intake,Observable Entity,Observation,SNOMED,Valid,Standard,658667,619635,897148007,Alcoholic beverage intake,SNOMED,No,
46272450,710814002,Long-term current use of drug therapy,Context-dependent,Observation,SNOMED,Valid,Standard,651474,46272450,710814002,Long-term current use of drug therapy,SNOMED,No,
4235390,408468001,Learning disability - specialty,Qualifier Value,Observation,SNOMED,Valid,Standard,633403,4235390,408468001,Learning disability - specialty,SNOMED,No,
4337265,87042004,Bowel sounds,Observable Entity,Observation,SNOMED,Valid,Standard,632138,4337265,87042004,Bowel sounds,SNOMED,No,
4272021,63448001,Gait,Observable Entity,Observation,SNOMED,Valid,Standard,627771,4272021,63448001,Gait,SNOMED,No,
21492826,80332-0,Voiding pattern,Clinical Observation,Measurement,LOINC,Valid,Standard,611656,21492826,80332-0,Voiding pattern,LOINC,No,
44806751,802881000000104,Personal care,Procedure,Observation,SNOMED,Valid,Standard,580867,44806751,802881000000104,Personal care,SNOMED,No,
4309087,424483007,Transportation details,Observable Entity,Observation,SNOMED,Valid,Standard,558470,4309087,424483007,Transportation details,SNOMED,No,
44816618,74720-4,Device name,Clinical Observation,Measurement,LOINC,Valid,Standard,543516,44816618,74720-4,Device name,LOINC,No,
4239021,6797001,Mean blood pressure,Observable Entity,Measurement,SNOMED,Valid,Standard,531151,4239021,6797001,Mean blood pressure,SNOMED,No,
3003798,8357-6,Blood pressure method,Clinical Observation,Observation,LOINC,Valid,Standard,530664,3003798,8357-6,Blood pressure method,LOINC,No,
4143454,33911006,Food appetite,Observable Entity,Observation,SNOMED,Valid,Standard,527491,4143454,33911006,Food appetite,SNOMED,No,
3043970,39107-8,Color of Skin,Clinical Observation,Measurement,LOINC,Valid,Standard,515677,3043970,39107-8,Color of Skin,LOINC,No,
4353713,250854009,Positive end expiratory pressure,Observable Entity,Observation,SNOMED,Valid,Standard,504461,4353713,250854009,Positive end expiratory pressure,SNOMED,No,
43530822,609343002,Surgical incision wound,Morph Abnormality,Observation,SNOMED,Valid,Standard,501368,43530822,609343002,Surgical incision wound,SNOMED,No,
45766147,703248002,Appearance,Observable Entity,Observation,SNOMED,Valid,Standard,498860,45766147,703248002,Appearance,SNOMED,No,
4029625,13621006,Tidal volume,Observable Entity,Measurement,SNOMED,Valid,Standard,482981,4029625,13621006,Tidal volume,SNOMED,No,
4248977,408919008,Psychosocial care,Procedure,Observation,SNOMED,Valid,Standard,472919,4248977,408919008,Psychosocial care,SNOMED,No,
4235714,406190002,Detail of abuse,Observable Entity,Observation,SNOMED,Valid,Standard,449336,4235714,406190002,Detail of abuse,SNOMED,No,
4301868,78564009,Pulse rate,Observable Entity,Measurement,SNOMED,Valid,Standard,446945,4301868,78564009,Pulse rate,SNOMED,No,
4305545,419663003,Airway device present,Clinical Finding,Condition,SNOMED,Valid,Non-standard,442231,4305545,419663003,Airway device present,SNOMED,No,
4225856,405035003,Swallowing status,Observable Entity,Observation,SNOMED,Valid,Standard,423892,4225856,405035003,Swallowing status,SNOMED,No,
4020646,116697009,Assists,Attribute,Observation,SNOMED,Valid,Non-standard,420162,4020646,116697009,Assists,SNOMED,No,
4087179,248592006,Character of cough,Observable Entity,Observation,SNOMED,Valid,Standard,407802,4087179,248592006,Character of cough,SNOMED,No,
37399733,3161000175102,Suicide risk,Observable Entity,Observation,SNOMED,Valid,Standard,376460,37399733,3161000175102,Suicide risk,SNOMED,No,
4220163,416811008,Tidal volume setting,Observable Entity,Observation,SNOMED,Valid,Standard,369286,4220163,416811008,Tidal volume setting,SNOMED,No,
46272451,710815001,Long-term current use of insulin,Context-dependent,Observation,SNOMED,Valid,Standard,363017,46272451,710815001,Long-term current use of insulin,SNOMED,No,
4062985,170804003,Ideal body weight,Observable Entity,Observation,SNOMED,Valid,Standard,357711,4062985,170804003,Ideal body weight,SNOMED,No,
3006292,20126-9,Ventilator wave form,Clinical Observation,Observation,LOINC,Valid,Standard,338120,3006292,20126-9,Ventilator wave form,LOINC,No,
42539072,736537001,Confusion Assessment Method short version score,Observable Entity,Measurement,SNOMED,Valid,Non-standard,336361,42539072,736537001,Confusion Assessment Method short version score,SNOMED,No,
4353715,250870006,Ventilator finding,Clinical Finding,Observation,SNOMED,Valid,Standard,320671,4353715,250870006,Ventilator finding,SNOMED,No,
4266626,364690008,Appearance of stool,Observable Entity,Measurement,SNOMED,Valid,Standard,316663,4266626,364690008,Appearance of stool,SNOMED,No,
40479778,444479000,Rate of blood flow through cardiovascular device,Observable Entity,Observation,SNOMED,Valid,Standard,306599,40479778,444479000,Rate of blood flow through cardiovascular device,SNOMED,No,
4139633,264904006,Peak pressure,Qualifier Value,Observation,SNOMED,Valid,Standard,300511,4139633,264904006,Peak pressure,SNOMED,No,
46234705,75320-2,Advance directive,Clinical Observation,Observation,LOINC,Valid,Standard,279575,46234705,75320-2,Advance directive,LOINC,No,
4043369,129025006,Activity of daily living,Observable Entity,Observation,SNOMED,Valid,Standard,279303,4043369,129025006,Activity of daily living,SNOMED,No,
4223743,422000003,Skin condition,Observable Entity,Observation,SNOMED,Valid,Standard,278803,4223743,422000003,Skin condition,SNOMED,No,
44813836,861031000000101,Expected date of discharge from service,Observable Entity,Observation,SNOMED,Valid,Standard,274123,44813836,861031000000101,Expected date of discharge from service,SNOMED,No,
3009497,9033-2,Type of GI tube,Clinical Observation,Measurement,LOINC,Valid,Standard,263377,3009497,9033-2,Type of GI tube,LOINC,No,
4144271,266918002,Tobacco smoking consumption,Observable Entity,Observation,SNOMED,Valid,Non-standard,261582,4144271,266918002,Tobacco smoking consumption,SNOMED,No,
