original_concept_id,original_code,original_name,original_vocab,snomed_concept_id,snomed_concept_code,snomed_concept_name,snomed_vocab,mapping_relationship,frequency
2006700,87.49,Other chest x-ray,ICD9Proc,4080877,278110001,Radiographic imaging - action,SNOMED,Has method,88805
2726351,02HV33Z,"Insertion of Infusion Device into Superior Vena Cava, Percutaneous Approach",ICD10PCS,4045049,129284003,Surgical action,SNOMED,Has method,73740
2787823,5A09357,"Assistance with Respiratory Ventilation, Less than 24 Consecutive Hours, Continuous Positive Airway Pressure",ICD10PCS,4163858,45444009,Ventilation,SNOMED,Has focus,50051
2786056,B24BYZZ,Ultrasonography of Heart with Aorta using Other Contrast,ICD10PCS,4334807,433231002,Contrast echocardiography,SNOMED,Subsumes,39393
2745444,0BH17EZ,"Insertion of Endotracheal Airway into Trachea, Via Natural or Artificial Opening",ICD10PCS,4195956,44567001,Tracheal structure,SNOMED,Has dir proc site,37180
2617378,G0299,"Direct skilled nursing services of a registered nurse (rn) in the home health or hospice setting, each 15 minutes",HCPCS,4321906,9632001,Nursing procedure,SNOMED,Is a,34299
2728511,03HY32Z,"Insertion of Monitoring Device into Upper Artery, Percutaneous Approach",ICD10PCS,4040722,118955007,Implantation to cardiovascular system,SNOMED,Subsumes,34267
2788717,30233N1,"Transfusion of Nonautologous Red Blood Cells into Peripheral Vein, Percutaneous Approach",ICD10PCS,4013298,103388001,Percutaneous approach,SNOMED,Has access,33334
2002174,38.93,"Venous catheterization, not elsewhere classified",ICD9Proc,4106470,257867005,Insertion - action,SNOMED,Has method,32310
2786059,B24BZZZ,Ultrasonography of Heart with Aorta,ICD10PCS,4217142,80891009,Heart structure,SNOMED,Has dir proc site,27300
2008285,99.29,Injection or infusion of other therapeutic or prophylactic substance,ICD9Proc,4105895,281706009,Injection of substance,SNOMED,Is a,26935
2777808,0WJ80ZZ,"Inspection of Chest Wall, Open Approach",ICD10PCS,4044378,129236007,Open approach,SNOMED,Has access,26812
2788038,5A1955Z,"Respiratory Ventilation, Greater than 96 Consecutive Hours",ICD10PCS,4163858,45444009,Ventilation,SNOMED,Has focus,25793
2786441,3E033XZ,"Introduction of Vasopressor into Peripheral Vein, Percutaneous Approach",ICD10PCS,4013298,103388001,Percutaneous approach,SNOMED,Has access,24543
43018323,5A1D70Z,"Performance of Urinary Filtration, Intermittent, Less than 6 Hours Per Day",ICD10PCS,4042840,118961005,Introduction to urinary tract,SNOMED,Is a,24375
1314318,G0480,"Drug test(s), definitive, utilizing (1) drug identification methods able to identify individual drugs and distinguish between structural isomers (but not necessarily stereoisomers), including, but not limited to gc/ms (any type, single or tandem) and l...",HCPCS,4326835,430925007,Measurement of substance,SNOMED,Maps to,23704
2788037,5A1945Z,"Respiratory Ventilation, 24-96 Consecutive Hours",ICD10PCS,4163858,45444009,Ventilation,SNOMED,Has focus,22918
2786688,3E043XZ,"Introduction of Vasopressor into Central Vein, Percutaneous Approach",ICD10PCS,4013298,103388001,Percutaneous approach,SNOMED,Has access,20970
2789604,B2111ZZ,Fluoroscopy of Multiple Coronary Arteries using Low Osmolar Contrast,ICD10PCS,40485986,446030004,Angiography using contrast,SNOMED,Is a,20603
2788032,5A1221Z,"Performance of Cardiac Output, Continuous",ICD10PCS,4217142,80891009,Heart structure,SNOMED,Has proc site,19409
2786058,B24BZZ4,"Ultrasonography of Heart with Aorta, Transesophageal",ICD10PCS,4217142,80891009,Heart structure,SNOMED,Has dir proc site,16749
2788036,5A1935Z,"Respiratory Ventilation, Less than 24 Consecutive Hours",ICD10PCS,4163858,45444009,Ventilation,SNOMED,Has focus,16707
2008008,96.71,Continuous invasive mechanical ventilation for less than 96 consecutive hours,ICD9Proc,4065366,20139000,Structure of respiratory system,SNOMED,Has proc site,14882
2786548,4A023N7,"Measurement of Cardiac Sampling and Pressure, Left Heart, Percutaneous Approach",ICD10PCS,4044177,129266000,Measurement - action,SNOMED,Has method,14228
2786547,4A023N6,"Measurement of Cardiac Sampling and Pressure, Right Heart, Percutaneous Approach",ICD10PCS,4044177,129266000,Measurement - action,SNOMED,Has method,13805
2786181,3E0234Z,"Introduction of Serum, Toxoid and Vaccine into Muscle, Percutaneous Approach",ICD10PCS,4013298,103388001,Percutaneous approach,SNOMED,Has access,13677
2787280,4A10X4Z,"Monitoring of Central Nervous Electrical Activity, External Approach",ICD10PCS,4044379,129237003,Closed approach,SNOMED,Access of,12545
2760133,0HJPXZZ,"Inspection of Skin, External Approach",ICD10PCS,4219601,39937001,Skin structure,SNOMED,Has dir proc site,12326
