Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency,Original_Id,Original_Code,Original_Name,Original_Vocab,Mapping_Applied,Mapping_Relationship
4027135,,Subsequent hospital visit by physician,Undefined,Observation,SNOMED,Invalid,Non-standard,1324920,2514408,99232,"Subsequent hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and moderate level of medical decision making. When using total time on t...",CPT4,Yes,CPT4 - SNOMED eq
4027135,,Subsequent hospital visit by physician,Undefined,Observation,SNOMED,Invalid,Non-standard,1116973,2514409,99233,"Subsequent hospital inpatient or observation care, per day, for the evaluation and management of a patient, which requires a medically appropriate history and/or examination and high level of medical decision making. When using total time on the d...",CPT4,Yes,CPT4 - SNOMED eq
4065277,,Standard ECG,Undefined,Procedure,SNOMED,Invalid,Non-standard,971746,2313816,93010,"Electrocardiogram, routine ECG with at least 12 leads; interpretation and report only",CPT4,Yes,CPT4 - SNOMED eq
36713195,394421000119103,"Plain X-ray of chest, anteroposterior view",Procedure,Procedure,SNOMED,Valid,Standard,957654,36713195,394421000119103,"Plain X-ray of chest, anteroposterior view",SNOMED,No,
725068,71045,"Radiologic examination, chest; single view",Undefined,Procedure,CPT4,Invalid,Non-standard,819873,725068,71045,"Radiologic examination, chest; single view",CPT4,No,
2314047,94760,Noninvasive ear or pulse oximetry for oxygen saturation; single determination,Undefined,Procedure,CPT4,Invalid,Non-standard,718812,2314047,94760,Noninvasive ear or pulse oximetry for oxygen saturation; single determination,CPT4,No,
2514441,99291,"Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",Undefined,Procedure,CPT4,Invalid,Non-standard,592467,2514441,99291,"Critical care, evaluation and management of the critically ill or critically injured patient; first 30-74 minutes",CPT4,No,
4065277,,Standard ECG,Undefined,Procedure,SNOMED,Invalid,Non-standard,536253,2313815,93005,"Electrocardiogram, routine ECG with at least 12 leads; tracing only, without interpretation and report",CPT4,Yes,CPT4 - SNOMED eq
4318806,,Aerosol or vapor inhalation for sputum induction for diagnostic purposes,Undefined,Procedure,SNOMED,Invalid,Non-standard,493851,2314026,94640,"Pressurized or nonpressurized inhalation treatment for acute airway obstruction for therapeutic purposes and/or for diagnostic purposes such as sputum induction with an aerosol generator, nebulizer, metered dose inhaler or intermittent positive pr...",CPT4,Yes,CPT4 - SNOMED eq
4172515,,Therapeutic procedure,Undefined,Procedure,SNOMED,Invalid,Non-standard,375132,2314294,97530,"Therapeutic activities, direct (one-on-one) patient contact (use of dynamic activities to improve functional performance), each 15 minutes",CPT4,Yes,CPT4 - SNOMED eq
4163872,399208008,Plain X-ray of chest,Procedure,Procedure,SNOMED,Valid,Standard,374327,4163872,399208008,Plain X-ray of chest,SNOMED,No,
