Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency
320128,59621000,Essential hypertension,Disorder,Condition,SNOMED,Valid,Standard,795082
432867,55822004,Hyperlipidemia,Disorder,Condition,SNOMED,Valid,Standard,326697
4193704,313436004,Type 2 diabetes mellitus without complication,Disorder,Condition,SNOMED,Valid,Standard,306342
764123,451041000124103,Atherosclerosis of coronary artery without angina pectoris,Disorder,Condition,SNOMED,Valid,Standard,279601
438485,19585003,Postoperative state,Clinical Finding,Observation,SNOMED,Valid,Standard,243988
313217,49436004,Atrial fibrillation,Disorder,Condition,SNOMED,Valid,Standard,227631
312437,267036007,Dyspnea,Clinical Finding,Condition,SNOMED,Valid,Standard,226014
317576,53741008,Coronary arteriosclerosis,Disorder,Condition,SNOMED,Valid,Standard,224088
319835,42343007,Congestive heart failure,Disorder,Condition,SNOMED,Valid,Standard,203686
312648,1201005,Benign essential hypertension,Disorder,Condition,SNOMED,Valid,Standard,181657
77670,29857009,Chest pain,Clinical Finding,Condition,SNOMED,Valid,Standard,181382
437827,267432004,Pure hypercholesterolemia,Disorder,Condition,SNOMED,Valid,Standard,176884
201826,44054006,Type 2 diabetes mellitus,Disorder,Condition,SNOMED,Valid,Standard,176628
439777,271737000,Anemia,Disorder,Condition,SNOMED,Valid,Standard,172554
0,NULL/Missing,NULL/Missing condition concept,Undefined,Metadata,None,Invalid,Non-standard,152716
4144111,266435005,Gastroesophageal reflux disease without esophagitis,Disorder,Condition,SNOMED,Valid,Standard,145337
140673,40930008,Hypothyroidism,Disorder,Condition,SNOMED,Valid,Standard,142974
316139,84114007,Heart failure,Disorder,Condition,SNOMED,Valid,Standard,138057
197320,14669001,Acute kidney injury,Disorder,Condition,SNOMED,Valid,Standard,129773
442588,78275009,Obstructive sleep apnea syndrome,Disorder,Condition,SNOMED,Valid,Standard,127683
255573,13645005,Chronic obstructive pulmonary disease,Disorder,Condition,SNOMED,Valid,Standard,126659
4216244,72077002,Preoperative state,Clinical Finding,Observation,SNOMED,Valid,Standard,117247
254761,49727002,Cough,Clinical Finding,Condition,SNOMED,Valid,Standard,116814
444239,128926000,Postprocedural state finding,Clinical Finding,Observation,SNOMED,Valid,Standard,114662
200219,21522001,Abdominal pain,Clinical Finding,Condition,SNOMED,Valid,Standard,112056
4209423,56294008,Nicotine dependence,Disorder,Condition,SNOMED,Valid,Standard,110823
138384,111566002,Acquired hypothyroidism,Disorder,Condition,SNOMED,Valid,Standard,110757
316866,38341003,Hypertensive disorder,Disorder,Condition,SNOMED,Valid,Standard,110188
443597,433144002,Chronic kidney disease stage 3,Disorder,Condition,SNOMED,Valid,Standard,105774
81902,68566005,Urinary tract infectious disease,Disorder,Condition,SNOMED,Valid,Standard,104130
46271022,709044004,Chronic kidney disease,Disorder,Condition,SNOMED,Valid,Standard,103030
254061,60046008,Pleural effusion,Disorder,Condition,SNOMED,Valid,Standard,102058
436070,34713006,Vitamin D deficiency,Disorder,Condition,SNOMED,Valid,Standard,98908
436096,82423001,Chronic pain,Clinical Finding,Condition,SNOMED,Valid,Standard,98543
4272240,367391008,Malaise,Clinical Finding,Observation,SNOMED,Valid,Standard,97607
4154290,282825002,Paroxysmal atrial fibrillation,Disorder,Condition,SNOMED,Valid,Standard,94101
438720,267434003,Mixed hyperlipidemia,Disorder,Condition,SNOMED,Valid,Standard,92707
433736,414916001,Obesity,Disorder,Condition,SNOMED,Valid,Standard,90944
261880,46621007,Atelectasis,Disorder,Condition,SNOMED,Valid,Standard,90716
318800,235595009,Gastroesophageal reflux disease,Disorder,Condition,SNOMED,Valid,Standard,89892
