Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency
0,NULL/Missing,NULL/Missing drug concept,Undefined,Metadata,None,Invalid,Non-standard,7890491
19079524,313002,sodium chloride 9 MG/ML Injectable Solution,Clinical Drug,Drug,RxNorm,Valid,Standard,6546970
40221381,1807627,150 ML sodium chloride 9 MG/ML Injection,Quant Clinical Drug,Drug,RxNorm,Valid,Standard,4586174
1125315,161,acetaminophen,Ingredient,Drug,RxNorm,Valid,Standard,3731551
1367571,5224,heparin,Ingredient,Drug,RxNorm,Valid,Standard,2845372
1154343,435,albuterol,Ingredient,Drug,RxNorm,Valid,Standard,2684864
36249734,1795607,500 ML glucose 50 MG/ML Injection,Quant Clinical Drug,Drug,RxNorm,Valid,Standard,2170555
1550023,86009,insulin lispro,Ingredient,Drug,RxNorm,Valid,Standard,1912332
1307046,6918,metoprolol,Ingredient,Drug,RxNorm,Valid,Standard,1832470
19135374,847630,calcium chloride 0.2 MG/ML / potassium chloride 0.3 MG/ML / sodium chloride 6 MG/ML / sodium lactate 3.1 MG/ML Injectable Solution,Clinical Drug,Drug,RxNorm,Valid,Standard,1568949
938268,36387,"sennosides, USP",Ingredient,Drug,RxNorm,Valid,Standard,1366252
19076324,309778,glucose 50 MG/ML Injectable Solution,Clinical Drug,Drug,RxNorm,Valid,Standard,1331966
1154029,4337,fentanyl,Ingredient,Drug,RxNorm,Valid,Standard,1322373
948078,40790,pantoprazole,Ingredient,Drug,RxNorm,Valid,Standard,1283797
941258,82003,docusate,Ingredient,Drug,RxNorm,Valid,Standard,1282451
1112807,1191,aspirin,Ingredient,Drug,RxNorm,Valid,Standard,1235292
40221363,1807546,25 ML sodium chloride 4.5 MG/ML Injection,Quant Clinical Drug,Drug,RxNorm,Valid,Standard,1182863
989878,6387,lidocaine,Ingredient,Drug,RxNorm,Valid,Standard,1149851
1000560,26225,ondansetron,Ingredient,Drug,RxNorm,Valid,Standard,1135854
1707687,11124,vancomycin,Ingredient,Drug,RxNorm,Valid,Standard,1084993
40220357,1807639,1000 ML sodium chloride 9 MG/ML Injection,Quant Clinical Drug,Drug,RxNorm,Valid,Standard,1063785
36249688,1795251,glucose 50 MG/ML / sodium chloride 4.5 MG/ML Injection,Clinical Drug,Drug,RxNorm,Valid,Standard,1052999
956874,4603,furosemide,Ingredient,Drug,RxNorm,Valid,Standard,1041295
797399,25480,gabapentin,Ingredient,Drug,RxNorm,Valid,Standard,963863
1545958,83367,atorvastatin,Ingredient,Drug,RxNorm,Valid,Standard,961032
1746114,8339,piperacillin,Ingredient,Drug,RxNorm,Valid,Standard,933311
1126658,3423,hydromorphone,Ingredient,Drug,RxNorm,Valid,Standard,916938
19049024,8588,potassium,Ingredient,Drug,RxNorm,Valid,Standard,893211
19111620,4511,folic acid,Ingredient,Drug,RxNorm,Valid,Standard,891611
1174888,5489,hydrocodone,Ingredient,Drug,RxNorm,Valid,Standard,877409
40035968,371856,diltiazem Oral Tablet,Clinical Drug Form,Drug,RxNorm,Valid,Standard,847820
19049105,8591,potassium chloride,Ingredient,Drug,RxNorm,Valid,Standard,803729
1596977,253182,"insulin, regular, human",Ingredient,Drug,RxNorm,Valid,Standard,774253
1301025,67108,enoxaparin,Ingredient,Drug,RxNorm,Valid,Standard,743315
1502905,274783,insulin glargine,Ingredient,Drug,RxNorm,Valid,Standard,741995
1373928,5470,hydralazine,Ingredient,Drug,RxNorm,Valid,Standard,719372
967823,9863,sodium chloride,Ingredient,Drug,RxNorm,Valid,Standard,685086
953076,4278,famotidine,Ingredient,Drug,RxNorm,Valid,Standard,679839
1346823,20352,carvedilol,Ingredient,Drug,RxNorm,Valid,Standard,673446
1567198,51428,"insulin aspart, human",Ingredient,Drug,RxNorm,Valid,Standard,663927
40220389,1808220,propofol 10 MG/ML Injection,Clinical Drug,Drug,RxNorm,Valid,Standard,659063
1321341,7512,norepinephrine,Ingredient,Drug,RxNorm,Valid,Standard,650595
986417,221147,polyethylene glycol 3350,Ingredient,Drug,RxNorm,Valid,Standard,612200
922570,7597,nystatin,Ingredient,Drug,RxNorm,Valid,Standard,610424
1771162,2180,cefazolin,Ingredient,Drug,RxNorm,Valid,Standard,600361
1396131,24947,ferrous sulfate,Ingredient,Drug,RxNorm,Valid,Standard,596554
1308738,11248,vitamin B12,Ingredient,Drug,RxNorm,Valid,Standard,584578
36249711,1795480,250 ML glucose 100 MG/ML Injection,Quant Clinical Drug,Drug,RxNorm,Valid,Standard,577697
46275435,1659139,piperacillin 3000 MG / tazobactam 375 MG Injection [Zosyn],Branded Drug,Drug,RxNorm,Valid,Standard,576378
35603428,1735003,2 ML fentanyl 0.05 MG/ML Injection,Quant Clinical Drug,Drug,RxNorm,Valid,Standard,572269
19124906,6574,magnesium,Ingredient,Drug,RxNorm,Valid,Standard,561752
1501700,10582,levothyroxine,Ingredient,Drug,RxNorm,Valid,Standard,558345
1332418,17767,amlodipine,Ingredient,Drug,RxNorm,Valid,Standard,557002
711584,114477,levetiracetam,Ingredient,Drug,RxNorm,Valid,Standard,554667
1110410,7052,morphine,Ingredient,Drug,RxNorm,Valid,Standard,546779
1551099,8640,prednisone,Ingredient,Drug,RxNorm,Valid,Standard,540763
35605482,1740467,2 ML ondansetron 2 MG/ML Injection,Quant Clinical Drug,Drug,RxNorm,Valid,Standard,535240
1518254,3264,dexamethasone,Ingredient,Drug,RxNorm,Valid,Standard,528459
1124957,7804,oxycodone,Ingredient,Drug,RxNorm,Valid,Standard,518423
1308216,29046,lisinopril,Ingredient,Drug,RxNorm,Valid,Standard,507699
932745,1808,bumetanide,Ingredient,Drug,RxNorm,Valid,Standard,504683
19070224,9949,soybean oil,Ingredient,Drug,RxNorm,Valid,Standard,503758
1707164,6922,metronidazole,Ingredient,Drug,RxNorm,Valid,Standard,472575
1310149,11289,warfarin,Ingredient,Drug,RxNorm,Valid,Standard,471213
1741122,37617,tazobactam,Ingredient,Drug,RxNorm,Valid,Standard,454455
1127433,313782,acetaminophen 325 MG Oral Tablet,Clinical Drug,Drug,RxNorm,Valid,Standard,449766
1790812,2358,chlorhexidine,Ingredient,Drug,RxNorm,Valid,Standard,441062
19127213,727820,10 ML sodium chloride 9 MG/ML Prefilled Syringe,Quant Clinical Drug,Drug,RxNorm,Valid,Standard,438464
40232756,1049621,oxycodone hydrochloride 5 MG Oral Tablet,Clinical Drug,Drug,RxNorm,Valid,Standard,435775
1129625,3498,diphenhydramine,Ingredient,Drug,RxNorm,Valid,Standard,427457
908523,6972,mineral oil,Ingredient,Drug,RxNorm,Valid,Standard,426856
46234049,1653204,"3 ML insulin aspart, human 100 UNT/ML Pen Injector [NovoLog]",Quant Branded Drug,Drug,RxNorm,Valid,Standard,426358
950637,42316,tacrolimus,Ingredient,Drug,RxNorm,Valid,Standard,415274
1103314,10689,tramadol,Ingredient,Drug,RxNorm,Valid,Standard,410336
19005046,684879,pyridoxine,Ingredient,Drug,RxNorm,Valid,Standard,409909
1560751,727517,50 ML glucose 500 MG/ML Prefilled Syringe,Quant Clinical Drug,Drug,RxNorm,Valid,Standard,403093
904453,283742,esomeprazole,Ingredient,Drug,RxNorm,Valid,Standard,402643
708298,6960,midazolam,Ingredient,Drug,RxNorm,Valid,Standard,396268
906780,6915,metoclopramide,Ingredient,Drug,RxNorm,Valid,Standard,388554
1560305,484348,omega-3 acid ethyl esters (USP),Ingredient,Drug,RxNorm,Valid,Standard,384145
975125,5492,hydrocortisone,Ingredient,Drug,RxNorm,Valid,Standard,383398
19035704,1897,calcium carbonate,Ingredient,Drug,RxNorm,Valid,Standard,381618
19095164,2418,cholecalciferol,Ingredient,Drug,RxNorm,Valid,Standard,380037
36249687,1795250,1000 ML glucose 50 MG/ML / sodium chloride 4.5 MG/ML Injection,Quant Clinical Drug,Drug,RxNorm,Valid,Standard,377894
