Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency
3024171,9279-1,Respiratory rate,Clinical Observation,Measurement,LOINC,Valid,Standard,94805710
3004249,8480-6,Systolic blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,83437359
3012888,8462-4,Diastolic blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,83360287
3020891,8310-5,Body temperature,Clinical Observation,Measurement,LOINC,Valid,Standard,78982836
3027018,8867-4,Heart rate,Clinical Observation,Measurement,LOINC,Valid,Standard,77549128
40762499,59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,Clinical Observation,Measurement,LOINC,Valid,Standard,61799131
0,NULL/Missing,NULL/Missing measurement concept,Undefined,Metadata,None,Invalid,Non-standard,49201949
4301868,78564009,Pulse rate,Observable Entity,Measurement,SNOMED,Valid,Standard,25722649
4098046,252465000,Pulse oximetry,Procedure,Measurement,SNOMED,Valid,Standard,24145203
3027598,8478-0,Mean blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,23915719
43055141,72514-3,Pain severity - 0-10 verbal numeric rating [Score] - Reported,Clinical Observation,Measurement,LOINC,Valid,Standard,22034394
3014315,9187-6,Urine output,Clinical Observation,Measurement,LOINC,Valid,Standard,19011397
3036277,8302-2,Body height,Clinical Observation,Measurement,LOINC,Valid,Standard,14250938
3025315,29463-7,Body weight,Clinical Observation,Measurement,LOINC,Valid,Standard,13677510
4326744,75367002,Blood pressure,Observable Entity,Measurement,SNOMED,Valid,Standard,13549047
3004501,2345-7,Glucose [Mass/volume] in Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard,13023010
3024882,19994-3,Oxygen/Total gas setting [Volume Fraction] Ventilator,Clinical Observation,Measurement,LOINC,Valid,Standard,13004890
3014576,2075-0,Chloride [Moles/volume] in Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard,12661023
3013682,3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard,12632291
3006906,17861-6,Calcium [Mass/volume] in Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard,12361656
3025524,19993-5,Oxygen/Gas total Inhaled gas by Gas dilution.rebreath,Clinical Observation,Measurement,LOINC,Valid,Standard,12232874
3023103,2823-3,Potassium [Moles/volume] in Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard,11763086
3019550,2951-2,Sodium [Moles/volume] in Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard,11756221
3005629,3151-8,Inhaled oxygen flow rate,Clinical Observation,Measurement,LOINC,Valid,Standard,11646736
3016723,2160-0,Creatinine [Mass/volume] in Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard,11530396
3009744,786-4,MCHC [Mass/volume] by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,11502533
3023599,787-2,MCV [Entitic volume] by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,11490350
3012030,785-6,MCH [Entitic mass] by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,11482478
21490852,76214-6,Invasive Mean blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,11451312
21492241,76536-2,Mean blood pressure by Noninvasive,Clinical Observation,Measurement,LOINC,Valid,Standard,11313914
3013502,20564-1,Oxygen saturation in Blood,Clinical Observation,Measurement,LOINC,Valid,Standard,11012510
3000963,718-7,Hemoglobin [Mass/volume] in Blood,Lab Test,Measurement,LOINC,Valid,Standard,10408166
3015632,2028-9,"Carbon dioxide, total [Moles/volume] in Serum or Plasma",Lab Test,Measurement,LOINC,Valid,Standard,10290131
3024929,777-3,Platelets [#/volume] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,10187987
3023314,4544-3,Hematocrit [Volume Fraction] of Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,9037995
3019897,788-0,Erythrocyte distribution width [Ratio] by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,9032630
21490853,76215-3,Invasive Systolic blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,8499815
21490851,76213-8,Invasive Diastolic blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,8494266
46236952,77147-7,"Glomerular filtration rate/1.73 sq M.predicted [Volume Rate/Area] in Serum, Plasma or Blood by Creatinine-based formula (MDRD)",Lab Test,Measurement,LOINC,Valid,Standard,8476977
3038553,39156-5,Body mass index (BMI) [Ratio],Clinical Observation,Measurement,LOINC,Valid,Standard,8450239
3000996,8886-4,Heart rate method,Clinical Observation,Measurement,LOINC,Valid,Standard,8303622
3000905,6690-2,Leukocytes [#/volume] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,7785042
3020416,789-8,Erythrocytes [#/volume] in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,7529511
3034962,41653-7,Glucose [Mass/volume] in Capillary blood by Glucometer,Lab Test,Measurement,LOINC,Valid,Standard,6909287
3011948,5905-5,Monocytes/100 leukocytes in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,6859401
3001420,19123-9,Magnesium [Mass/volume] in Serum or Plasma,Lab Test,Measurement,LOINC,Valid,Standard,6801807
3037511,736-9,Lymphocytes/100 leukocytes in Blood by Automated count,Lab Test,Measurement,LOINC,Valid,Standard,6300613
