Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency
0,No matching concept,No matching concept,Undefined,Metadata,None,Valid,Standard,61371
40491357,447154002,Specimen from nose,Specimen,Specimen,SNOMED,Valid,Standard,45382
4001225,119297000,Blood specimen,Specimen,Specimen,SNOMED,Valid,Standard,1408033
4002890,119376003,Tissue specimen,Specimen,Specimen,SNOMED,Valid,Standard,195700
4001181,119364003,Serum specimen,Specimen,Specimen,SNOMED,Valid,Standard,77536
4046280,122575003,Urine specimen,Specimen,Specimen,SNOMED,Valid,Standard,76832
4121219,258411007,Nasopharyngeal aspirate,Specimen,Specimen,SNOMED,Valid,Standard,55282
4002879,119339001,Stool specimen,Specimen,Specimen,SNOMED,Valid,Standard,32258
4048506,123038009,Specimen,Specimen,Specimen,SNOMED,Valid,Standard,25412
4121345,258607008,Bronchoalveolar lavage fluid specimen,Specimen,Specimen,SNOMED,Valid,Standard,22080
4046507,122880004,Urine specimen obtained by clean catch procedure,Specimen,Specimen,SNOMED,Valid,Standard,14676
4124259,258450006,Cerebrospinal fluid specimen,Specimen,Specimen,SNOMED,Valid,Standard,8972
4302933,418564007,Pleural fluid specimen,Specimen,Specimen,SNOMED,Valid,Standard,7449
4002876,119334006,Sputum specimen,Specimen,Specimen,SNOMED,Valid,Standard,6932
4043942,168139001,Peritoneal fluid specimen,Specimen,Specimen,SNOMED,Valid,Standard,4663
4124280,258528007,Rectal swab,Specimen,Specimen,SNOMED,Valid,Standard,4154
4001183,119371008,Specimen from abscess,Specimen,Specimen,SNOMED,Valid,Standard,3955
4122251,258442002,Fluid specimen,Specimen,Specimen,SNOMED,Valid,Standard,3835
4001224,119295008,Specimen obtained by aspiration,Specimen,Specimen,SNOMED,Valid,Standard,3733
4328578,430268003,Specimen from bone,Specimen,Specimen,SNOMED,Valid,Standard,3103
4002893,119389009,Specimen from throat,Specimen,Specimen,SNOMED,Valid,Standard,2881
4002875,119332005,Synovial fluid specimen,Specimen,Specimen,SNOMED,Valid,Standard,1246
4119540,258610001,Sputum specimen obtained by sputum induction,Specimen,Specimen,SNOMED,Valid,Standard,1242
4001187,119391001,Specimen from bronchus,Specimen,Specimen,SNOMED,Valid,Standard,1133
4121220,258415003,Biopsy specimen,Specimen,Specimen,SNOMED,Valid,Standard,792
4048848,122571007,Pericardial fluid specimen,Specimen,Specimen,SNOMED,Valid,Standard,765
46270288,162213000000000000,Urine specimen obtained via straight catheter,Specimen,Specimen,SNOMED,Valid,Standard,758
4000623,119359002,Bone marrow specimen,Specimen,Specimen,SNOMED,Valid,Standard,731
4001063,119344008,Specimen from genital system,Specimen,Specimen,SNOMED,Valid,Standard,681
4045763,122586001,Peritoneal dialysis fluid specimen,Specimen,Specimen,SNOMED,Valid,Standard,623
4120335,258455001,Drainage fluid specimen,Specimen,Specimen,SNOMED,Valid,Standard,461
44783230,699287008,Urine specimen obtained via suprapubic indwelling urinary catheter,Specimen,Specimen,SNOMED,Valid,Standard,445
4204180,309049000,Lesion specimen,Specimen,Specimen,SNOMED,Valid,Standard,349
44783229,699286004,Urine specimen obtained from kidney via aspiration,Specimen,Specimen,SNOMED,Valid,Standard,309
4046835,122556008,Cord blood specimen,Specimen,Specimen,SNOMED,Valid,Standard,291
4001065,119350003,Calculus specimen,Specimen,Specimen,SNOMED,Valid,Standard,289
4001350,119312009,Catheter tip submitted as specimen,Specimen,Specimen,SNOMED,Valid,Standard,247
4202637,309185002,Oral cavity specimen,Specimen,Specimen,SNOMED,Valid,Standard,228
4120698,257261003,Swab,Specimen,Specimen,SNOMED,Valid,Standard,226
46270274,162162000000000000,Endocervical aspirate,Specimen,Specimen,SNOMED,Valid,Standard,209
4001061,119341000,Bile specimen,Specimen,Specimen,SNOMED,Valid,Standard,206
44783228,699285000,Urine specimen obtained from urinary bladder by cystoscopy,Specimen,Specimen,SNOMED,Valid,Standard,205
4202624,309128003,Eye fluid specimen,Specimen,Specimen,SNOMED,Valid,Standard,200
4000636,119400006,Specimen from cornea,Specimen,Specimen,SNOMED,Valid,Standard,148
4001189,119394009,Specimen from vagina,Specimen,Specimen,SNOMED,Valid,Standard,147
4204953,309176002,Bronchial brushings specimen,Specimen,Specimen,SNOMED,Valid,Standard,123
4121320,302795002,Lymph node aspirate,Specimen,Specimen,SNOMED,Valid,Standard,115
4002891,119379005,Specimen from stomach,Specimen,Specimen,SNOMED,Valid,Standard,114
4000629,119369008,Specimen from ulcer,Specimen,Specimen,SNOMED,Valid,Standard,111
4045757,122565001,Urinary catheter specimen,Specimen,Specimen,SNOMED,Valid,Standard,102
4002896,119397002,Specimen from penis,Specimen,Specimen,SNOMED,Valid,Standard,82
4002889,119368000,Specimen from cyst,Specimen,Specimen,SNOMED,Valid,Standard,70
4001188,119393003,Specimen from urethra,Specimen,Specimen,SNOMED,Valid,Standard,50
4001062,119342007,Saliva specimen,Specimen,Specimen,SNOMED,Valid,Standard,31
4119377,258431006,Scrapings,Specimen,Specimen,SNOMED,Valid,Standard,30
4002226,119396006,Specimen from endometrium,Specimen,Specimen,SNOMED,Valid,Standard,19
4000635,119395005,Specimen from uterine cervix,Specimen,Specimen,SNOMED,Valid,Standard,16
