original_concept_id,original_code,original_name,original_vocab,snomed_concept_id,snomed_concept_code,snomed_concept_name,snomed_vocab,mapping_relationship,frequency
3027018,8867-4,Heart rate,LOINC,3560198,891771000000103,Heart rate,SNOMED,Maps to,77549128
40762499,59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,LOINC,4020553,104847001,Oxygen saturation measurement,SNOMED,Subsumes,61799131
3025315,29463-7,Body weight,LOINC,37174455,55491000237100,Patient weight,SNOMED,Maps to,13677510
3004501,2345-7,Glucose [Mass/volume] in Serum or Plasma,LOINC,4018317,104688003,"Glucose measurement, quantitative",SNOMED,Subsumes,13023010
3014576,2075-0,Chloride [Moles/volume] in Serum or Plasma,LOINC,4019545,104589004,"Chloride measurement, blood",SNOMED,Is a,12661023
3013682,3094-0,Urea nitrogen [Mass/volume] in Serum or Plasma,LOINC,4074649,24509005,Urea nitrogen measurement,SNOMED,Subsumes,12632291
3006906,17861-6,Calcium [Mass/volume] in Serum or Plasma,LOINC,40489885,446889005,Measurement of fractional excretion of calcium,SNOMED,Is a,12361656
3023103,2823-3,Potassium [Moles/volume] in Serum or Plasma,LOINC,4245152,59573005,Potassium measurement,SNOMED,Is a,11763086
3019550,2951-2,Sodium [Moles/volume] in Serum or Plasma,LOINC,4097430,25197003,Sodium measurement,SNOMED,Subsumes,11756221
3016723,2160-0,Creatinine [Mass/volume] in Serum or Plasma,LOINC,4324383,70901006,Creatinine measurement,SNOMED,Subsumes,11530396
3013502,20564-1,Oxygen saturation in Blood,LOINC,4020553,104847001,Oxygen saturation measurement,SNOMED,Subsumes,11012510
3020416,789-8,Erythrocytes [#/volume] in Blood by Automated count,LOINC,4030871,14089001,Red blood cell count,SNOMED,Subsumes,7529511
3034962,41653-7,Glucose [Mass/volume] in Capillary blood by Glucometer,LOINC,4018317,104688003,"Glucose measurement, quantitative",SNOMED,Is a,6909287
3001420,19123-9,Magnesium [Mass/volume] in Serum or Plasma,LOINC,40493191,445881001,Measurement of fractional excretion of magnesium,SNOMED,Is a,6801807
3011904,2777-1,Phosphate [Mass/volume] in Serum or Plasma,LOINC,4017907,104866001,Phosphate measurement,SNOMED,Subsumes,5792957
3013721,1920-8,Aspartate aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,4263457,45896001,Aspartate aminotransferase measurement,SNOMED,Is a,5507139
3035995,6768-6,Alkaline phosphatase [Enzymatic activity/volume] in Serum or Plasma,LOINC,4230636,88810008,Alkaline phosphatase measurement,SNOMED,Subsumes,5288198
3024128,1975-2,Bilirubin.total [Mass/volume] in Serum or Plasma,LOINC,4118986,302787001,Bilirubin measurement,SNOMED,Subsumes,5045191
3045716,33037-3,Anion gap in Serum or Plasma,LOINC,4193435,312474003,Blood electrolyte measurement,SNOMED,Is a,5029300
3021391,10466-1,Anion gap 3 in Serum or Plasma,LOINC,4193435,312474003,Blood electrolyte measurement,SNOMED,Is a,4712861
3020630,2885-2,Protein [Mass/volume] in Serum or Plasma,LOINC,4250176,74040009,Protein measurement,SNOMED,Is a,4527083
3024561,1751-7,Albumin [Mass/volume] in Serum or Plasma,LOINC,4097664,26758005,Albumin measurement,SNOMED,Subsumes,4497623
3006923,1742-6,Alanine aminotransferase [Enzymatic activity/volume] in Serum or Plasma,LOINC,4095055,250637003,ALT - blood measurement,SNOMED,Subsumes,4194759
3004077,32016-8,Glucose [Mass/volume] in Capillary blood,LOINC,4018317,104688003,"Glucose measurement, quantitative",SNOMED,Is a,4108063
3004327,731-0,Lymphocytes [#/volume] in Blood by Automated count,LOINC,37174016,67541000237108,Lymphocyte count in blood,SNOMED,Subsumes,3729263
3011424,2340-8,Glucose [Mass/volume] in Blood by Automated test strip,LOINC,4144235,33747003,"Glucose measurement, blood",SNOMED,Subsumes,3281174
3027801,2703-7,Oxygen [Partial pressure] in Arterial blood,LOINC,37175121,25231000237103,PO2 (partial pressure of oxygen) in arterial blood,SNOMED,Is a,2723189
3027946,2019-8,Carbon dioxide [Partial pressure] in Arterial blood,LOINC,1075460,1304152003,Partial pressure of carbon dioxide in arterial blood,SNOMED,Subsumes,2619561
3019977,2744-1,pH of Arterial blood,LOINC,4215028,81065003,pH measurement,SNOMED,Is a,2607769
3003396,1925-7,Base excess in Arterial blood by calculation,LOINC,4194291,312471006,Blood bicarbonate measurement,SNOMED,Is a,2397103
3008152,1960-4,Bicarbonate [Moles/volume] in Arterial blood,LOINC,4227915,88645003,Bicarbonate measurement,SNOMED,Subsumes,2325042
3005456,6298-4,Potassium [Moles/volume] in Blood,LOINC,37172941,55701000237103,Potassium molar concentration in blood,SNOMED,Is a,2271120
3016293,1963-8,Bicarbonate [Moles/volume] in Serum or Plasma,LOINC,4227915,88645003,Bicarbonate measurement,SNOMED,Subsumes,2225541
3000285,2947-0,Sodium [Moles/volume] in Blood,LOINC,37172736,54381000237109,Sodium molar concentration in blood,SNOMED,Is a,2133404
3007238,771-6,Nucleated erythrocytes [#/volume] in Blood by Automated count,LOINC,4012826,165426009,Nucleated red blood cell count procedure,SNOMED,Subsumes,1940593
3027597,1968-7,Bilirubin.direct [Mass/volume] in Serum or Plasma,LOINC,4118986,302787001,Bilirubin measurement,SNOMED,Subsumes,1723245
3047181,32693-4,Lactate [Moles/volume] in Blood,LOINC,37172618,53481000237103,Lactate molar concentration in blood,SNOMED,Subsumes,1684118
3051825,38483-4,Creatinine [Mass/volume] in Blood,LOINC,4324383,70901006,Creatinine measurement,SNOMED,Is a,1367058
3026361,26453-1,Erythrocytes [#/volume] in Blood,LOINC,4030871,14089001,Red blood cell count,SNOMED,Is a,1354849
3021119,1994-3,Calcium.ionized [Moles/volume] in Blood,LOINC,37172939,55681000237100,Ionised calcium molar concentration in blood,SNOMED,Is a,1228897
3020399,2350-7,Glucose [Mass/volume] in Urine,LOINC,4149883,30994003,"Glucose measurement, urine",SNOMED,Subsumes,1182490
3000483,2339-0,Glucose [Mass/volume] in Blood,LOINC,4018317,104688003,"Glucose measurement, quantitative",SNOMED,Subsumes,1138856
3030477,50551-1,Bilirubin.total [Presence] in Urine by Automated test strip,LOINC,4098199,252384001,Urine dipstick for bilirubin,SNOMED,Is a,1074738
3050068,47596-2,Calcium.ionized [Moles/volume] in Blood by Ion-selective membrane electrode (ISE),LOINC,37172939,55681000237100,Ionised calcium molar concentration in blood,SNOMED,Is a,1065570
3006576,1959-6,Bicarbonate [Moles/volume] in Blood,LOINC,4227915,88645003,Bicarbonate measurement,SNOMED,Subsumes,1039671
3029305,50560-2,pH of Urine by Automated test strip,LOINC,4154501,271348005,Urine dipstick for pH,SNOMED,Subsumes,1018927
3019198,26474-7,Lymphocytes [#/volume] in Blood,LOINC,37174016,67541000237108,Lymphocyte count in blood,SNOMED,Is a,994127
3030173,50557-8,Ketones [Mass/volume] in Urine by Automated test strip,LOINC,4097313,25164004,"Ketone bodies measurement, quantitative",SNOMED,Is a,977667
3039896,53328-1,Glucose [Mass/volume] in Urine by Automated test strip,LOINC,4151414,269879003,Urine dipstick for glucose,SNOMED,Is a,977022
3030758,50558-6,Nitrite [Presence] in Urine by Automated test strip,LOINC,4120299,302791006,Urine dipstick for nitrite,SNOMED,Is a,847692
3043706,32717-1,Sodium [Moles/volume] in Arterial blood,LOINC,4097430,25197003,Sodium measurement,SNOMED,Is a,843583
3022250,14804-9,Lactate dehydrogenase [Enzymatic activity/volume] in Serum or Plasma by Lactate to pyruvate reaction,LOINC,4098519,250644007,LDH blood measurement,SNOMED,Subsumes,841366
40763086,60026-2,Leukocyte esterase [Presence] in Urine by Automated test strip,LOINC,4098200,252385000,Urine dipstick for leukocyte esterase,SNOMED,Is a,830126
3029872,50561-0,Protein [Mass/volume] in Urine by Automated test strip,LOINC,4154500,271346009,Urine dipstick for protein,SNOMED,Subsumes,825005
3016502,2708-6,Oxygen saturation in Arterial blood,LOINC,4020553,104847001,Oxygen saturation measurement,SNOMED,Subsumes,822360
3011367,2713-6,Oxygen saturation Calculated from oxygen partial pressure in Blood,LOINC,4020553,104847001,Oxygen saturation measurement,SNOMED,Subsumes,753695
3012501,11555-0,Base excess in Blood by calculation,LOINC,4194291,312471006,Blood bicarbonate measurement,SNOMED,Is a,738922
3029991,50562-8,Specific gravity of Urine by Refractometry automated,LOINC,35609595,1083751000000108,Urine specific gravity,SNOMED,Subsumes,735448
3022192,2571-8,Triglyceride [Mass/volume] in Serum or Plasma,LOINC,4032789,14740000,Triglycerides measurement,SNOMED,Is a,728176
3003215,732-8,Lymphocytes [#/volume] in Blood by Manual count,LOINC,37174016,67541000237108,Lymphocyte count in blood,SNOMED,Is a,725505
3007359,1971-1,Bilirubin.indirect [Mass/volume] in Serum or Plasma,LOINC,4018181,104553007,"Bilirubin, non-glucuronidated measurement",SNOMED,Is a,723627
3043409,32713-0,Potassium [Moles/volume] in Arterial blood,LOINC,4245152,59573005,Potassium measurement,SNOMED,Is a,699026
40763913,61152-5,Albumin [Mass/volume] in Serum or Plasma by Bromocresol purple (BCP) dye binding method,LOINC,4097664,26758005,Albumin measurement,SNOMED,Is a,694882
3007220,2157-6,Creatine kinase [Enzymatic activity/volume] in Serum or Plasma,LOINC,4265595,397798009,Creatine kinase measurement,SNOMED,Subsumes,677728
3027114,2093-3,Cholesterol [Mass/volume] in Serum or Plasma,LOINC,4299360,77068002,Cholesterol measurement,SNOMED,Subsumes,674450
3007070,2085-9,Cholesterol in HDL [Mass/volume] in Serum or Plasma,LOINC,4101713,28036006,High density lipoprotein cholesterol measurement,SNOMED,Is a,648961
3030091,49701-6,pH of Blood adjusted to patient's actual temperature,LOINC,4215028,81065003,pH measurement,SNOMED,Is a,621221
3033543,2965-2,Specific gravity of Urine,LOINC,35609595,1083751000000108,Urine specific gravity,SNOMED,Is a,606565
3006916,21377-7,Magnesium [Mass/volume] in Blood,LOINC,4150628,271285000,Blood magnesium measurement,SNOMED,Subsumes,581879
3016407,3255-7,Fibrinogen [Mass/volume] in Platelet poor plasma by Coagulation assay,LOINC,4094436,250346004,Fibrinogen measurement,SNOMED,Is a,579773
3037556,3084-1,Urate [Mass/volume] in Serum or Plasma,LOINC,4156643,270984004,Blood urate measurement,SNOMED,Is a,565826
3025348,22724-9,Alanine [Moles/volume] in Specimen,LOINC,4017496,104479001,Alanine measurement,SNOMED,Is a,553824
3026250,11253-2,Tacrolimus [Mass/volume] in Blood,LOINC,4310327,391379002,Blood tacrolimus level,SNOMED,Subsumes,542820
3010421,11558-4,pH of Blood,LOINC,4042747,167022003,Blood pH abnormal,SNOMED,Maps to,538862
3031266,41651-1,Glucose [Mass/volume] in Arterial blood,LOINC,4018317,104688003,"Glucose measurement, quantitative",SNOMED,Subsumes,538315
3006473,19161-9,Urobilinogen [Units/volume] in Urine by Test strip,LOINC,4055306,167321001,Urine dipstick for urobilinogen,SNOMED,Is a,531743
3005897,5804-0,Protein [Mass/volume] in Urine by Test strip,LOINC,4154500,271346009,Urine dipstick for protein,SNOMED,Subsumes,513555
3022621,5803-2,pH of Urine by Test strip,LOINC,4154501,271348005,Urine dipstick for pH,SNOMED,Is a,511325
3047107,46099-8,Calcium [Mass/volume] corrected for albumin in Serum or Plasma,LOINC,40489885,446889005,Measurement of fractional excretion of calcium,SNOMED,Subsumes,508374
3029315,51487-7,Leukocytes [#/volume] in Urine by Automated count,LOINC,37171781,42331000237103,White blood cell count in urine,SNOMED,Is a,500383
3002864,798-9,Erythrocytes [#/volume] in Urine by Automated count,LOINC,4016235,104122001,"Red blood cell count, automated, urine",SNOMED,Is a,500090
3021601,5802-4,Nitrite [Presence] in Urine by Test strip,LOINC,4120299,302791006,Urine dipstick for nitrite,SNOMED,Is a,498392
3000348,5799-2,Leukocyte esterase [Presence] in Urine by Test strip,LOINC,4098200,252385000,Urine dipstick for leukocyte esterase,SNOMED,Is a,466188
3013702,19254-2,Oxygen [Partial pressure] adjusted to patient's actual temperature in Blood,LOINC,4021125,104846005,Oxygen measurement,SNOMED,Subsumes,454824
3005785,13969-1,Creatine kinase.MB [Mass/volume] in Serum or Plasma,LOINC,4017058,104613001,Creatine kinase MB measurement,SNOMED,Subsumes,449774
3004905,3040-3,Lipase [Enzymatic activity/volume] in Serum or Plasma,LOINC,4021288,104988000,Triacylglycerol lipase measurement,SNOMED,Subsumes,441866
40760861,57751-0,Hemoglobin [Presence] in Urine by Automated test strip,LOINC,4077492,275714003,Urine dipstick for hemoglobin,SNOMED,Is a,437378
3011960,30934-4,Natriuretic peptide B [Mass/volume] in Serum or Plasma,LOINC,4307029,390917008,Brain natriuretic peptide measurement,SNOMED,Is a,431333
3027315,11556-8,Oxygen [Partial pressure] in Blood,LOINC,4021125,104846005,Oxygen measurement,SNOMED,Is a,414567
3009201,3016-3,Thyrotropin [Units/volume] in Serum or Plasma,LOINC,4246879,61167004,Thyroid stimulating hormone measurement,SNOMED,Is a,399662
3017250,2161-8,Creatinine [Mass/volume] in Urine,LOINC,4150621,271260009,"Creatinine measurement, urine",SNOMED,Subsumes,399265
42869608,71853-6,Oxygen saturation [Pure mass fraction] in Blood,LOINC,4020553,104847001,Oxygen saturation measurement,SNOMED,Subsumes,381745
3020460,1988-5,C reactive protein [Mass/volume] in Serum or Plasma,LOINC,4208414,55235003,C-reactive protein measurement,SNOMED,Subsumes,380980
44816672,74774-1,"Glucose [Mass/volume] in Serum, Plasma or Blood",LOINC,4018317,104688003,"Glucose measurement, quantitative",SNOMED,Subsumes,379831
3024354,2705-2,Oxygen [Partial pressure] in Venous blood,LOINC,37175108,6021000237109,Oxygen partial pressure in venous blood,SNOMED,Is a,376419
3021447,2021-4,Carbon dioxide [Partial pressure] in Venous blood,LOINC,4192889,394957003,Mixed venous carbon dioxide level,SNOMED,Is a,375216
3023539,5797-6,Ketones [Mass/volume] in Urine by Test strip,LOINC,4097313,25164004,"Ketone bodies measurement, quantitative",SNOMED,Is a,362514
3002032,1927-3,Base excess in Venous blood by calculation,LOINC,4194291,312471006,Blood bicarbonate measurement,SNOMED,Is a,359210
3024629,5792-7,Glucose [Mass/volume] in Urine by Test strip,LOINC,4151414,269879003,Urine dipstick for glucose,SNOMED,Is a,356377
3012544,2746-6,pH of Venous blood,LOINC,37392672,1007071000000105,Blood venous pH,SNOMED,Subsumes,339724
3037072,20405-7,Urobilinogen [Mass/volume] in Urine by Test strip,LOINC,4055306,167321001,Urine dipstick for urobilinogen,SNOMED,Subsumes,337394
43055120,72493-0,Cytomegalovirus DNA [Units/volume] (viral load) in Serum or Plasma by NAA with probe detection,LOINC,37172169,44961000237104,CMV (cytomegalovirus) DNA arbitrary concentration by nucleic acid amplification,SNOMED,Is a,325409
3037121,2888-6,Protein [Mass/volume] in Urine,LOINC,4211845,57378007,Urine protein measurement,SNOMED,Subsumes,322006
3033956,38200-2,Volume of Sputum,LOINC,4013576,103762001,Specimen volume measurement,SNOMED,Subsumes,319892
3027273,14627-4,Bicarbonate [Moles/volume] in Venous blood,LOINC,4227915,88645003,Bicarbonate measurement,SNOMED,Subsumes,317822
3001122,2276-4,Ferritin [Mass/volume] in Serum or Plasma,LOINC,4176561,489004,Ferritin measurement,SNOMED,Subsumes,316490
3018834,5770-3,Bilirubin.total [Presence] in Urine by Test strip,LOINC,4098199,252384001,Urine dipstick for bilirubin,SNOMED,Subsumes,299426
3002400,2498-4,Iron [Mass/volume] in Serum or Plasma,LOINC,4178785,42950004,Iron measurement,SNOMED,Is a,293570
3044491,43396-1,Cholesterol non HDL [Mass/volume] in Serum or Plasma,LOINC,44794807,293821000000103,Non high density lipoprotein cholesterol measurement,SNOMED,Is a,288724
3017680,748-4,Myelocytes [#/volume] in Blood by Manual count,LOINC,4015166,104099000,"Myelocyte count, blood",SNOMED,Subsumes,270944
3003181,2955-3,Sodium [Moles/volume] in Urine,LOINC,4020682,104935006,"Sodium measurement, urine",SNOMED,Subsumes,248299
3007930,2614-6,Methemoglobin/Hemoglobin.total in Blood,LOINC,4204561,54937007,"Methemoglobin measurement, quantitative",SNOMED,Is a,233187
3006217,2615-3,Methemoglobin/Hemoglobin.total in Arterial blood,LOINC,4204561,54937007,"Methemoglobin measurement, quantitative",SNOMED,Subsumes,232495
3016771,1798-8,Amylase [Enzymatic activity/volume] in Serum or Plasma,LOINC,4276028,64435009,Amylase measurement,SNOMED,Subsumes,232004
3012392,739-3,Metamyelocytes [#/volume] in Blood by Manual count,LOINC,37174446,54711000237100,Metamyelocyte count in blood,SNOMED,Subsumes,228726
3028288,13457-7,Cholesterol in LDL [Mass/volume] in Serum or Plasma by calculation,LOINC,4012479,113079009,Low density lipoprotein cholesterol measurement,SNOMED,Is a,224524
