Id,Code,Name,Standard Class,Domain,Vocab,Validity,Concept,Frequency,Original_Id,Original_Code,Original_Name,Original_Vocab,Mapping_Applied,Mapping_Relationship
3024171,9279-1,Respiratory rate,Clinical Observation,Measurement,LOINC,Valid,Standard,94805710,3024171,9279-1,Respiratory rate,LOINC,No,
3004249,8480-6,Systolic blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,83437359,3004249,8480-6,Systolic blood pressure,LOINC,No,
3012888,8462-4,Diastolic blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,83360287,3012888,8462-4,Diastolic blood pressure,LOINC,No,
3020891,8310-5,Body temperature,Clinical Observation,Measurement,LOINC,Valid,Standard,78982836,3020891,8310-5,Body temperature,LOINC,No,
3560198,891771000000103,Heart rate,Clinical Observation,Measurement,SNOMED,Valid,Standard,77549128,3027018,8867-4,Heart rate,LOINC,Yes,Maps to
4020553,104847001,Oxygen saturation measurement,Clinical Observation,Measurement,SNOMED,Valid,Standard,61799131,40762499,59408-5,Oxygen saturation in Arterial blood by Pulse oximetry,LOINC,Yes,Subsumes
0,NULL/Missing,NULL/Missing measurement concept,Undefined,Metadata,None,Invalid,Non-standard,49201949,0,NULL/Missing,NULL/Missing measurement concept,None,No,
4301868,78564009,Pulse rate,Observable Entity,Measurement,SNOMED,Valid,Standard,25722649,4301868,78564009,Pulse rate,SNOMED,No,
4098046,252465000,Pulse oximetry,Procedure,Measurement,SNOMED,Valid,Standard,24145203,4098046,252465000,Pulse oximetry,SNOMED,No,
3027598,8478-0,Mean blood pressure,Clinical Observation,Measurement,LOINC,Valid,Standard,23915719,3027598,8478-0,Mean blood pressure,LOINC,No,
43055141,72514-3,Pain severity - 0-10 verbal numeric rating [Score] - Reported,Clinical Observation,Measurement,LOINC,Valid,Standard,22034394,43055141,72514-3,Pain severity - 0-10 verbal numeric rating [Score] - Reported,LOINC,No,
3014315,9187-6,Urine output,Clinical Observation,Measurement,LOINC,Valid,Standard,19011397,3014315,9187-6,Urine output,LOINC,No,
3036277,8302-2,Body height,Clinical Observation,Measurement,LOINC,Valid,Standard,14250938,3036277,8302-2,Body height,LOINC,No,
37174455,55491000237100,Patient weight,Clinical Observation,Measurement,SNOMED,Valid,Standard,13677510,3025315,29463-7,Body weight,LOINC,Yes,Maps to
4326744,75367002,Blood pressure,Observable Entity,Measurement,SNOMED,Valid,Standard,13549047,4326744,75367002,Blood pressure,SNOMED,No,
